publishAt,publishedAtDate,stars
6 ay önce,2025-10-01T00:20:15.169Z,3
6 ay önce,2025-09-30T19:32:18.001Z,5
6 ay önce,2025-09-29T14:05:30.733Z,3
6 ay önce,2025-09-28T05:39:57.512Z,5
6 ay önce düzenlendi,2025-09-27T13:25:11.174Z,3
6 ay önce,2025-09-27T10:23:22.020Z,5
6 ay önce,2025-09-26T15:36:34.103Z,5
6 ay önce,2025-09-26T14:49:06.961Z,5
6 ay önce,2025-09-25T21:08:28.968Z,5
6 ay önce,2025-09-25T20:43:40.609Z,5
6 ay önce,2025-09-25T11:04:58.698Z,5
6 ay önce,2025-09-24T17:38:15.580Z,5
6 ay önce,2025-09-24T07:18:15.552Z,5
6 ay önce,2025-09-24T04:02:45.694Z,5
6 ay önce,2025-09-23T19:00:57.335Z,5
6 ay önce düzenlendi,2025-09-23T05:34:43.749Z,5
6 ay önce düzenlendi,2025-09-22T19:42:49.773Z,5
6 ay önce,2025-09-22T18:55:42.358Z,5
6 ay önce,2025-09-22T16:47:47.470Z,5
6 ay önce,2025-09-22T13:24:15.932Z,5
6 ay önce,2025-09-22T08:52:34.261Z,5
6 ay önce,2025-09-21T10:15:44.033Z,5
6 ay önce,2025-09-21T07:49:48.396Z,5
6 ay önce,2025-09-20T14:30:12.516Z,5
6 ay önce,2025-09-20T14:28:08.171Z,5
6 ay önce,2025-09-20T13:47:07.058Z,5
6 ay önce,2025-09-20T11:59:08.012Z,5
6 ay önce,2025-09-20T05:47:01.940Z,5
6 ay önce,2025-09-19T17:13:57.786Z,5
6 ay önce,2025-09-19T17:09:35.869Z,5
6 ay önce,2025-09-19T14:45:38.578Z,5
6 ay önce,2025-09-19T11:17:30.980Z,5
6 ay önce,2025-09-18T22:40:26.668Z,5
6 ay önce,2025-09-18T20:12:13.243Z,5
6 ay önce,2025-09-18T18:22:58.616Z,5
6 ay önce,2025-09-18T14:42:26.414Z,5
6 ay önce,2025-09-18T08:51:12.387Z,5
6 ay önce,2025-09-18T08:40:39.508Z,5
6 ay önce,2025-09-18T07:31:20.899Z,5
6 ay önce,2025-09-17T20:17:51.547Z,5
6 ay önce,2025-09-17T17:32:22.614Z,5
6 ay önce,2025-09-17T13:41:03.515Z,5
6 ay önce,2025-09-16T20:34:02.004Z,5
6 ay önce,2025-09-16T19:22:07.730Z,5
6 ay önce,2025-09-16T18:17:49.962Z,5
6 ay önce,2025-09-16T16:34:27.675Z,5
6 ay önce,2025-09-16T14:12:55.827Z,5
6 ay önce,2025-09-16T11:49:13.570Z,5
