,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_tmin,Kümbet yaylası - Giresun_tmax,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2022-03-30,2.42,0.38,0.0,0.38,-1.42,6.62,6.92,62.27
2022-03-31,4.12,0.0,0.0,0.0,-0.86,9.21,10.21,62.3
2022-04-01,7.66,0.0,0.0,0.0,2.5,12.7,16.56,45.19
2022-04-02,11.34,0.17,0.0,0.17,2.57,19.81,21.36,42.5
2022-04-03,3.94,0.0,0.0,0.0,0.15,11.29,7.97,63.2
2022-04-04,1.69,0.0,0.0,0.0,-2.16,6.65,10.58,63.72
2022-04-05,0.06,0.46,0.46,0.0,-2.93,3.9,9.7,76.02
2022-04-06,0.39,1.76,1.76,0.0,-1.41,3.12,7.54,86.62
2022-04-07,0.88,0.11,0.11,0.0,-2.25,4.77,6.4,87.54
2022-04-08,2.84,2.33,0.0,2.33,-1.66,7.94,7.48,80.89
2022-04-09,3.07,8.79,0.0,8.79,-0.19,7.18,7.62,77.47
2022-04-10,5.76,0.05,0.0,0.05,-0.66,12.62,11.53,56.67
2022-04-11,6.3,1.0,0.0,1.0,0.87,16.28,12.7,61.95
2022-04-12,-1.69,20.14,20.14,0.0,-4.29,0.88,16.71,83.89
2022-04-13,-2.94,1.76,1.76,0.0,-7.26,0.38,8.2,71.08
2022-04-14,-2.54,0.03,0.03,0.0,-7.75,2.1,7.72,66.11
2022-04-15,-0.43,0.65,0.65,0.0,-2.32,3.05,5.88,79.51
2022-04-16,-0.27,0.0,0.0,0.0,-4.76,3.86,6.07,77.69
2022-04-17,2.35,0.0,0.0,0.0,-2.67,7.56,7.96,66.61
2022-04-18,9.17,0.03,0.0,0.03,0.73,21.78,14.95,46.59
