,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_tmin,Horma Kanyonu - Kastamonu_tmax,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2022-06-10,19.24,0.27,0.0,0.27,14.3,25.01,5.91,79.34
2022-06-11,18.54,8.34,0.0,8.34,15.0,23.35,6.88,85.11
2022-06-12,17.46,8.7,0.0,8.7,15.14,21.31,6.14,89.92
2022-06-13,18.88,2.15,0.0,2.15,15.04,22.91,12.68,81.75
2022-06-14,19.26,0.13,0.0,0.13,14.38,23.82,8.97,80.28
2022-06-15,17.59,0.9,0.0,0.9,13.73,24.0,11.07,83.31
2022-06-16,18.04,3.53,0.0,3.53,12.39,23.28,9.32,76.36
2022-06-17,17.41,0.41,0.0,0.41,12.36,22.68,6.3,82.17
2022-06-18,18.84,0.25,0.0,0.25,13.39,24.27,6.59,80.51
2022-06-19,17.85,0.37,0.0,0.37,13.88,22.45,6.47,81.3
2022-06-20,19.73,0.63,0.0,0.63,11.74,25.46,6.65,73.24
2022-06-21,17.9,5.36,0.0,5.36,14.88,22.86,9.81,82.19
2022-06-22,18.82,1.4,0.0,1.4,13.44,24.01,14.14,74.83
2022-06-23,17.87,0.0,0.0,0.0,12.39,22.87,11.95,68.66
2022-06-24,14.79,5.78,0.0,5.78,12.76,18.12,10.82,85.04
2022-06-25,15.82,20.7,0.0,20.7,12.91,19.91,13.51,86.7
2022-06-26,16.6,20.7,0.0,20.7,13.41,20.56,11.89,87.79
2022-06-27,15.62,27.54,0.0,27.54,14.25,17.99,9.33,96.04
2022-06-28,16.2,34.26,0.0,34.26,13.94,20.84,6.28,93.01
2022-06-29,17.26,9.2,0.0,9.2,12.88,21.94,6.13,87.58
2022-06-30,18.59,0.34,0.0,0.34,14.16,24.0,7.87,87.37
2022-07-01,19.76,2.53,0.0,2.53,14.26,24.49,7.7,80.44
2022-07-02,19.95,0.0,0.0,0.0,13.21,25.16,7.8,73.74
2022-07-03,18.86,0.0,0.0,0.0,12.68,23.7,8.18,66.31
2022-07-04,18.35,0.0,0.0,0.0,9.83,24.02,8.69,65.92
2022-07-05,18.72,0.0,0.0,0.0,11.55,23.67,8.55,70.03
2022-07-06,20.38,0.0,0.0,0.0,11.96,26.23,7.24,71.37
2022-07-07,20.33,0.04,0.0,0.04,13.61,26.0,8.89,73.91
2022-07-08,21.01,0.0,0.0,0.0,14.47,26.14,11.09,71.96
2022-07-09,20.19,2.17,0.0,2.17,15.2,26.28,6.81,79.34
2022-07-10,18.35,7.66,0.0,7.66,16.09,23.27,9.13,88.0
2022-07-11,19.36,1.78,0.0,1.78,15.74,24.03,12.8,75.62
2022-07-12,19.19,0.78,0.0,0.78,14.67,24.34,7.23,78.86
2022-07-13,18.88,2.93,0.0,2.93,14.36,23.92,7.04,78.51
2022-07-14,19.06,1.8,0.0,1.8,13.11,24.37,9.41,71.5
2022-07-15,18.73,0.0,0.0,0.0,11.67,23.94,8.34,75.37
2022-07-16,20.04,0.0,0.0,0.0,14.0,24.68,9.84,76.52
2022-07-17,20.76,0.0,0.0,0.0,15.01,25.53,10.35,73.7
2022-07-18,19.23,1.56,0.0,1.56,15.12,23.84,10.92,72.54
2022-07-19,17.99,1.4,0.0,1.4,13.86,22.4,8.51,73.32
2022-07-20,18.56,0.0,0.0,0.0,11.58,24.16,8.72,70.0
2022-07-21,19.02,0.23,0.0,0.23,11.53,24.78,11.5,69.38
2022-07-22,19.66,0.0,0.0,0.0,14.0,25.05,10.2,67.82
2022-07-23,19.63,0.0,0.0,0.0,11.98,24.94,10.52,68.53
2022-07-24,20.02,0.0,0.0,0.0,12.82,25.63,8.55,68.46
2022-07-25,20.28,0.0,0.0,0.0,12.17,26.31,7.69,66.15
2022-07-26,20.5,0.04,0.0,0.04,14.34,25.92,8.76,71.52
2022-07-27,21.15,0.0,0.0,0.0,13.1,27.24,7.89,66.85
2022-07-28,20.97,0.0,0.0,0.0,13.09,26.51,7.8,70.02
2022-07-29,20.98,0.0,0.0,0.0,13.53,26.68,6.95,70.99
2022-07-30,21.03,0.0,0.0,0.0,13.09,27.55,6.55,69.22
2022-07-31,22.63,0.0,0.0,0.0,15.47,28.55,6.28,73.11
2022-08-01,22.52,0.0,0.0,0.0,17.41,27.51,10.86,74.53
2022-08-02,22.34,0.0,0.0,0.0,17.1,26.58,10.19,69.24
2022-08-03,22.24,0.0,0.0,0.0,15.19,28.08,8.27,73.4
2022-08-04,22.29,0.35,0.0,0.35,15.54,27.17,6.82,75.66
2022-08-05,22.18,3.69,0.0,3.69,17.6,26.66,5.91,81.6
2022-08-06,23.29,0.9,0.0,0.9,17.62,27.88,7.05,77.56
2022-08-07,23.15,0.02,0.0,0.02,17.14,27.55,8.88,73.89
2022-08-08,23.29,0.0,0.0,0.0,15.43,28.79,7.45,73.76
2022-08-09,23.57,0.12,0.0,0.12,15.82,28.88,7.2,70.3
2022-08-10,22.18,0.0,0.0,0.0,17.26,27.36,12.41,69.19
2022-08-11,21.89,0.85,0.0,0.85,17.52,26.25,15.34,72.31
2022-08-12,22.42,0.15,0.0,0.15,16.17,27.4,9.79,74.88
2022-08-13,23.34,0.0,0.0,0.0,15.79,27.79,6.57,73.81
2022-08-14,23.79,1.0,0.0,1.0,18.24,28.93,6.06,72.85
2022-08-15,20.52,18.1,0.0,18.1,17.73,25.91,8.47,81.99
2022-08-16,22.34,0.0,0.0,0.0,16.06,27.49,8.62,72.3
2022-08-17,22.12,0.08,0.0,0.08,17.25,28.42,7.32,69.16
2022-08-18,23.36,0.0,0.0,0.0,16.16,28.16,7.58,65.21
2022-08-19,21.95,2.65,0.0,2.65,15.35,26.85,8.54,74.13
2022-08-20,22.49,0.16,0.0,0.16,17.05,27.63,7.04,79.16
2022-08-21,24.13,0.0,0.0,0.0,16.68,29.07,6.89,77.6
2022-08-22,24.49,0.0,0.0,0.0,16.89,29.33,5.56,74.56
2022-08-23,25.57,0.0,0.0,0.0,17.27,29.88,6.0,70.02
2022-08-24,25.53,0.0,0.0,0.0,16.56,29.82,7.03,62.99
2022-08-25,22.92,1.14,0.0,1.14,18.93,28.28,8.43,76.62
2022-08-26,22.5,0.52,0.0,0.52,16.33,27.8,8.19,79.91
2022-08-27,22.4,0.52,0.0,0.52,17.13,27.71,8.63,80.94
2022-08-28,22.23,0.58,0.0,0.58,17.82,27.09,6.83,84.21
2022-08-29,21.93,0.0,0.0,0.0,16.57,27.97,7.18,77.89
2022-08-30,23.85,0.0,0.0,0.0,17.71,29.59,7.84,78.6
2022-08-31,23.49,0.15,0.0,0.15,17.73,28.63,6.11,81.85
2022-09-01,23.36,1.05,0.0,1.05,18.99,27.92,7.66,81.67
2022-09-02,23.26,0.08,0.0,0.08,16.97,28.22,6.87,81.26
2022-09-03,21.82,0.3,0.0,0.3,17.31,28.32,8.62,85.78
2022-09-04,19.26,4.59,0.0,4.59,16.37,22.72,9.62,84.96
2022-09-05,17.6,7.88,0.0,7.88,13.2,21.46,11.68,80.72
