,Kuzalan şelalesi Tabiat Parkı - Giresun_temp,Kuzalan şelalesi Tabiat Parkı - Giresun_prcp,Kuzalan şelalesi Tabiat Parkı - Giresun_snow,Kuzalan şelalesi Tabiat Parkı - Giresun_rain,Kuzalan şelalesi Tabiat Parkı - Giresun_tmin,Kuzalan şelalesi Tabiat Parkı - Giresun_tmax,Kuzalan şelalesi Tabiat Parkı - Giresun_wspd,Kuzalan şelalesi Tabiat Parkı - Giresun_rhum
2022-03-28,2.86,0.87,0.0,0.87,-0.33,6.07,11.07,68.25
2022-03-29,5.05,0.0,0.0,0.0,-0.57,10.79,8.63,63.96
2022-03-30,8.45,0.32,0.0,0.32,4.52,12.62,6.9,61.96
2022-03-31,10.29,0.0,0.0,0.0,5.31,15.32,10.5,62.18
2022-04-01,13.69,0.0,0.0,0.0,8.59,18.68,17.14,44.58
2022-04-02,17.45,0.19,0.0,0.19,8.45,26.11,21.97,42.09
2022-04-03,9.64,0.0,0.0,0.0,5.99,17.24,7.82,63.76
2022-04-04,7.49,0.0,0.0,0.0,3.65,12.54,10.79,63.57
2022-04-05,5.68,0.48,0.0,0.48,2.94,9.33,9.78,76.7
2022-04-06,5.96,1.51,0.0,1.51,4.31,8.53,7.67,87.03
2022-04-07,6.62,0.12,0.0,0.12,3.58,10.39,6.4,87.87
2022-04-08,8.59,2.02,0.0,2.02,4.09,13.74,7.47,81.11
2022-04-09,8.87,9.72,0.0,9.72,5.66,12.97,7.63,77.59
2022-04-10,11.73,0.04,0.0,0.04,5.3,18.45,11.91,56.15
2022-04-11,12.07,1.0,0.0,1.0,6.74,22.51,12.91,61.7
2022-04-12,4.1,21.39,0.0,21.39,1.51,6.61,17.07,84.12
2022-04-13,3.07,1.7,0.0,1.7,-1.25,6.43,8.27,70.44
2022-04-14,3.46,0.02,0.0,0.02,-1.44,7.95,7.79,66.01
2022-04-15,5.33,0.67,0.0,0.67,3.54,8.78,5.89,79.43
2022-04-16,5.49,0.0,0.0,0.0,1.19,9.47,6.0,78.08
2022-04-17,8.08,0.0,0.0,0.0,3.35,13.04,8.0,66.92
2022-04-18,14.96,0.02,0.0,0.02,6.35,27.92,15.37,46.22
2022-04-19,7.05,0.93,0.0,0.93,4.83,12.92,9.57,87.71
2022-04-20,6.02,2.69,0.0,2.69,3.72,8.14,7.91,86.33
2022-04-21,6.68,0.0,0.0,0.0,3.93,10.25,7.95,81.4
2022-04-22,6.69,0.19,0.0,0.19,3.45,10.22,6.38,83.3
2022-04-23,7.43,0.0,0.0,0.0,2.95,12.45,5.7,73.54
2022-04-24,11.61,0.02,0.0,0.02,5.85,18.62,6.86,66.36
2022-04-25,10.44,0.0,0.0,0.0,6.39,15.34,5.76,75.74
2022-04-26,11.38,0.41,0.0,0.41,7.53,16.85,5.99,69.52
2022-04-27,11.23,0.11,0.0,0.11,8.01,17.16,4.65,76.36
2022-04-28,10.34,0.06,0.0,0.06,6.7,16.04,5.0,79.69
2022-04-29,9.14,0.38,0.0,0.38,6.82,12.17,4.9,85.09
2022-04-30,8.75,1.09,0.0,1.09,7.07,11.79,4.54,89.32
2022-05-01,8.31,5.46,0.0,5.46,6.83,10.02,7.74,92.21
2022-05-02,8.34,9.46,0.0,9.46,7.05,11.22,8.81,89.02
