,Güzeldere selalesi Tabiat Parkı - Düzce_temp,Güzeldere selalesi Tabiat Parkı - Düzce_prcp,Güzeldere selalesi Tabiat Parkı - Düzce_snow,Güzeldere selalesi Tabiat Parkı - Düzce_rain,Güzeldere selalesi Tabiat Parkı - Düzce_tmin,Güzeldere selalesi Tabiat Parkı - Düzce_tmax,Güzeldere selalesi Tabiat Parkı - Düzce_wspd,Güzeldere selalesi Tabiat Parkı - Düzce_rhum
2022-02-27,5.75,0.09,0.0,0.09,0.71,9.13,4.66,80.77
2022-02-28,4.07,3.72,0.0,3.72,0.86,7.52,7.47,88.28
2022-03-01,1.67,3.7,3.7,0.0,-0.79,4.37,8.05,77.16
2022-03-02,0.82,0.67,0.67,0.0,-0.63,2.59,4.54,79.81
2022-03-03,-0.33,4.11,4.11,0.0,-1.94,1.37,7.66,88.34
2022-03-04,2.07,3.04,0.0,3.04,-2.35,5.97,4.01,75.17
2022-03-05,3.63,0.59,0.0,0.59,-1.43,7.54,4.5,72.17
2022-03-06,4.93,0.0,0.0,0.0,1.08,8.06,5.29,78.24
2022-03-07,2.94,7.35,0.0,7.35,1.18,4.54,4.7,92.88
2022-03-08,2.02,6.41,0.0,6.41,-0.43,5.68,6.36,85.94
2022-03-09,-0.63,7.91,7.91,0.0,-2.5,1.77,5.89,86.5
2022-03-10,-2.4,3.51,3.51,0.0,-4.71,-0.47,6.08,81.91
2022-03-11,-3.99,5.52,5.52,0.0,-6.34,-0.84,7.88,80.32
2022-03-12,-4.23,5.61,5.61,0.0,-9.36,-0.67,8.81,75.99
2022-03-13,-2.85,0.0,0.0,0.0,-9.95,2.26,4.36,74.33
2022-03-14,-1.87,0.42,0.42,0.0,-8.75,2.7,3.14,75.24
2022-03-15,-0.83,0.16,0.16,0.0,-4.52,2.94,3.56,76.94
2022-03-16,0.59,0.0,0.0,0.0,-6.79,7.06,2.34,73.99
2022-03-17,1.22,1.96,1.96,0.0,-1.71,5.63,5.83,80.35
2022-03-18,-3.75,4.2,4.2,0.0,-6.16,-0.54,7.08,80.79
2022-03-19,-3.72,9.53,9.53,0.0,-6.43,-0.48,5.62,83.74
2022-03-20,-1.91,2.76,2.76,0.0,-5.24,1.44,5.85,82.87
2022-03-21,-1.09,0.9,0.9,0.0,-5.7,2.42,6.81,73.75
2022-03-22,0.48,0.05,0.05,0.0,-4.33,5.61,4.83,75.1
2022-03-23,1.8,1.26,1.26,0.0,-1.63,5.66,4.71,81.29
2022-03-24,1.56,1.17,1.17,0.0,-1.53,5.12,5.49,79.99
2022-03-25,3.19,0.23,0.0,0.23,-4.55,10.11,6.63,70.06
2022-03-26,1.79,2.66,2.66,0.0,-1.48,6.05,4.83,83.64
2022-03-27,5.56,0.52,0.0,0.52,-4.62,14.24,5.92,68.7
2022-03-28,8.66,0.02,0.0,0.02,-0.89,18.22,3.76,63.72
2022-03-29,9.66,0.16,0.0,0.16,1.61,16.87,3.5,64.95
2022-03-30,11.94,0.0,0.0,0.0,2.99,18.2,4.72,57.18
2022-03-31,13.94,0.0,0.0,0.0,3.81,19.32,4.26,53.95
2022-04-01,18.98,0.0,0.0,0.0,11.26,24.99,8.09,37.92
2022-04-02,16.31,0.0,0.0,0.0,7.09,22.55,9.34,38.37
2022-04-03,11.29,1.01,0.0,1.01,5.64,17.02,10.07,54.38
2022-04-04,7.11,0.53,0.0,0.53,1.57,12.76,5.76,71.41
2022-04-05,6.67,3.6,0.0,3.6,3.57,10.6,3.71,86.53
2022-04-06,8.13,0.0,0.0,0.0,2.04,15.32,5.08,75.36
2022-04-07,10.4,4.18,0.0,4.18,-0.66,20.64,4.45,70.53
2022-04-08,10.61,6.7,0.0,6.7,6.91,15.2,7.79,80.17
2022-04-09,14.59,0.95,0.0,0.95,3.16,23.4,4.35,61.41
2022-04-10,15.96,0.02,0.0,0.02,5.69,24.29,4.81,58.36
2022-04-11,5.86,11.24,0.0,11.24,2.84,10.86,9.74,84.06
2022-04-12,4.54,3.17,0.0,3.17,1.31,8.48,6.93,73.3
2022-04-13,4.19,0.38,0.0,0.38,-1.68,9.49,3.98,64.7
2022-04-14,6.86,0.0,0.0,0.0,-1.98,14.07,3.67,60.58
2022-04-15,9.87,0.0,0.0,0.0,0.35,17.5,4.63,62.7
2022-04-16,12.28,0.0,0.0,0.0,1.26,20.45,4.21,64.24
2022-04-17,9.02,4.08,0.0,4.08,4.26,11.87,4.5,79.77
2022-04-18,7.85,3.63,0.0,3.63,5.27,11.58,7.4,85.7
2022-04-19,5.17,3.45,0.0,3.45,3.58,6.87,5.96,89.57
2022-04-20,8.37,0.12,0.0,0.12,-0.89,15.15,4.15,67.65
2022-04-21,9.26,0.07,0.0,0.07,2.04,14.15,4.83,73.59
2022-04-22,13.11,0.0,0.0,0.0,2.82,20.46,3.11,69.76
2022-04-23,17.28,0.02,0.0,0.02,7.08,23.94,3.95,60.95
2022-04-24,15.85,0.12,0.0,0.12,5.25,23.02,4.94,62.71
2022-04-25,16.62,0.0,0.0,0.0,5.75,24.83,5.09,65.12
2022-04-26,15.29,0.0,0.0,0.0,6.43,22.83,4.58,64.71
2022-04-27,13.75,0.0,0.0,0.0,6.01,20.69,5.92,66.95
2022-04-28,13.36,0.0,0.0,0.0,5.39,21.36,5.21,73.19
2022-04-29,12.27,0.0,0.0,0.0,7.12,18.0,5.61,79.83
2022-04-30,9.65,4.44,0.0,4.44,8.45,10.97,4.69,92.05
2022-05-01,10.33,4.38,0.0,4.38,6.96,14.05,6.89,82.34
2022-05-02,11.39,0.84,0.0,0.84,5.69,17.19,5.66,76.88
2022-05-03,10.09,1.7,0.0,1.7,7.62,14.66,5.16,86.51
2022-05-04,8.92,6.16,0.0,6.16,6.59,11.26,6.65,84.7
2022-05-05,9.16,2.21,0.0,2.21,3.56,14.52,5.72,76.23
2022-05-06,8.73,0.72,0.0,0.72,4.0,12.12,7.22,77.65
2022-05-07,8.9,0.0,0.0,0.0,5.39,12.75,5.7,78.88
2022-05-08,10.35,0.0,0.0,0.0,1.35,16.86,6.3,75.65
2022-05-09,10.69,0.0,0.0,0.0,2.3,16.66,6.14,72.12
2022-05-10,10.8,0.0,0.0,0.0,1.08,18.35,5.77,70.53
2022-05-11,11.61,0.82,0.0,0.82,2.72,19.09,5.41,69.89
2022-05-12,13.5,0.0,0.0,0.0,2.27,21.72,3.81,60.47
2022-05-13,15.86,0.0,0.0,0.0,3.63,25.77,4.37,55.99
2022-05-14,17.27,0.3,0.0,0.3,7.47,24.3,4.88,55.53
2022-05-15,17.18,0.05,0.0,0.05,7.36,23.46,5.39,59.47
2022-05-16,15.46,5.08,0.0,5.08,7.3,22.56,3.94,72.77
2022-05-17,16.98,0.0,0.0,0.0,6.85,24.1,3.66,64.99
2022-05-18,15.43,4.03,0.0,4.03,6.89,24.18,7.85,68.22
2022-05-19,10.04,5.55,0.0,5.55,4.95,13.92,7.44,71.58
2022-05-20,13.0,0.0,0.0,0.0,1.17,18.95,5.25,64.94
2022-05-21,18.27,0.0,0.0,0.0,3.55,25.6,4.62,59.35
2022-05-22,18.99,0.12,0.0,0.12,6.54,25.48,6.57,57.82
2022-05-23,14.88,9.6,0.0,9.6,9.5,21.38,6.32,77.65
2022-05-24,15.88,0.18,0.0,0.18,6.24,21.47,4.96,68.12
2022-05-25,18.32,0.0,0.0,0.0,10.06,24.09,4.85,61.29
2022-05-26,21.08,0.0,0.0,0.0,8.57,27.67,4.96,64.94
2022-05-27,19.96,0.0,0.0,0.0,12.01,26.66,4.89,67.88
2022-05-28,20.75,0.12,0.0,0.12,9.89,27.02,4.98,62.53
2022-05-29,23.4,0.0,0.0,0.0,11.38,31.26,5.34,59.29
2022-05-30,23.25,0.95,0.0,0.95,14.07,30.01,6.96,54.65
2022-05-31,19.78,0.16,0.0,0.16,11.74,25.72,6.23,68.24
2022-06-01,19.02,0.0,0.0,0.0,12.19,25.31,5.66,76.71
2022-06-02,19.47,0.0,0.0,0.0,14.67,25.25,6.42,77.7
2022-06-03,18.68,0.12,0.0,0.12,14.73,23.08,6.57,78.47
2022-06-04,19.68,0.62,0.0,0.62,14.22,25.15,6.09,78.82
2022-06-05,20.62,0.0,0.0,0.0,13.82,26.97,5.54,70.71
2022-06-06,18.83,0.33,0.0,0.33,11.44,25.81,5.98,71.7
2022-06-07,16.51,1.29,0.0,1.29,12.86,21.18,4.63,78.69
2022-06-08,16.98,2.97,0.0,2.97,12.84,21.24,4.17,82.16
2022-06-09,19.15,0.0,0.0,0.0,10.44,25.8,3.9,71.53
2022-06-10,21.57,1.19,0.0,1.19,13.23,28.47,4.34,63.82
2022-06-11,17.2,8.1,0.0,8.1,14.14,20.49,5.54,83.56
2022-06-12,16.87,32.19,0.0,32.19,13.56,21.73,5.18,86.99
2022-06-13,18.98,7.36,0.0,7.36,13.5,23.68,5.44,82.4
