,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_tmin,Ulugöl Tabiat Parkı - Ordu_tmax,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2022-01-20,-6.83,1.59,1.59,0.0,-9.75,-4.12,13.76,72.11
2022-01-21,-5.68,0.0,0.0,0.0,-11.64,-0.14,13.93,63.21
2022-01-22,-0.66,0.0,0.0,0.0,-4.05,0.64,18.43,67.24
2022-01-23,-3.58,8.88,8.88,0.0,-5.93,-0.67,18.43,82.68
2022-01-24,-7.21,4.42,4.42,0.0,-9.56,-4.76,7.27,86.85
2022-01-25,-8.41,5.13,5.13,0.0,-14.06,-5.34,9.15,81.56
2022-01-26,-6.66,14.72,14.72,0.0,-7.9,-4.69,8.1,90.25
2022-01-27,-6.41,8.58,8.58,0.0,-8.15,-3.51,9.55,83.71
2022-01-28,-8.12,0.69,0.69,0.0,-11.13,-4.13,8.3,74.66
2022-01-29,-7.93,0.0,0.0,0.0,-11.87,-3.94,9.19,71.4
2022-01-30,-6.66,0.18,0.18,0.0,-11.81,-2.88,10.26,74.01
2022-01-31,-2.02,2.62,2.62,0.0,-4.64,0.1,12.5,87.74
2022-02-01,-1.61,7.0,7.0,0.0,-3.47,0.74,8.17,89.77
2022-02-02,3.82,0.0,0.0,0.0,-2.73,6.76,17.36,66.63
2022-02-03,4.69,0.03,0.0,0.03,2.14,7.24,21.65,57.15
