,Yedigöller Milli Parkı - Bolu_temp,Yedigöller Milli Parkı - Bolu_prcp,Yedigöller Milli Parkı - Bolu_snow,Yedigöller Milli Parkı - Bolu_rain,Yedigöller Milli Parkı - Bolu_tmin,Yedigöller Milli Parkı - Bolu_tmax,Yedigöller Milli Parkı - Bolu_wspd,Yedigöller Milli Parkı - Bolu_rhum
2022-02-19,3.36,1.19,0.0,1.19,-2.44,7.22,3.32,79.94
2022-02-20,6.63,0.0,0.0,0.0,-2.53,11.99,3.42,62.45
2022-02-21,8.12,0.0,0.0,0.0,1.68,13.69,3.18,63.62
2022-02-22,7.54,0.25,0.0,0.25,0.03,12.5,3.12,69.19
2022-02-23,7.25,0.0,0.0,0.0,2.82,11.15,3.35,80.48
2022-02-24,0.86,4.9,4.9,0.0,-0.22,2.52,4.47,98.51
2022-02-25,0.78,18.47,18.47,0.0,-0.8,1.8,6.34,97.84
2022-02-26,2.32,2.67,0.0,2.67,-0.92,5.23,3.8,83.29
2022-02-27,4.99,0.0,0.0,0.0,-0.13,8.1,3.12,81.01
2022-02-28,3.12,1.51,0.0,1.51,-0.38,7.17,5.5,90.32
2022-03-01,0.4,3.13,3.13,0.0,-1.94,2.83,7.37,79.98
2022-03-02,-0.4,0.07,0.07,0.0,-2.3,1.43,3.71,84.71
2022-03-03,-1.81,3.71,3.71,0.0,-3.57,-0.25,7.21,93.43
2022-03-04,0.98,3.85,3.85,0.0,-2.93,3.79,4.66,75.85
2022-03-05,2.15,0.0,0.0,0.0,-3.02,4.99,3.71,72.05
2022-03-06,3.54,0.0,0.0,0.0,-2.29,6.18,3.83,80.14
2022-03-07,1.78,1.68,1.68,0.0,-0.7,4.02,4.47,94.99
2022-03-08,0.81,2.96,2.96,0.0,-1.71,3.95,5.64,87.93
2022-03-09,-1.88,10.86,10.86,0.0,-3.42,-0.13,4.91,88.54
2022-03-10,-3.32,2.54,2.54,0.0,-5.5,-1.5,5.37,82.57
2022-03-11,-4.9,2.52,2.52,0.0,-7.49,-1.91,6.19,82.51
2022-03-12,-5.14,4.25,4.25,0.0,-9.92,-1.91,6.51,74.92
2022-03-13,-4.03,0.0,0.0,0.0,-11.43,0.14,4.12,71.45
2022-03-14,-2.85,0.0,0.0,0.0,-9.87,0.41,3.24,73.95
2022-03-15,-1.76,0.0,0.0,0.0,-5.39,1.12,3.84,75.76
2022-03-16,0.15,0.0,0.0,0.0,-7.44,5.85,3.25,68.4
2022-03-17,-0.08,0.07,0.07,0.0,-3.67,3.16,6.05,77.74
2022-03-18,-5.31,2.28,2.28,0.0,-7.58,-2.08,6.64,84.39
2022-03-19,-5.15,11.86,11.86,0.0,-8.58,-2.11,4.44,86.66
2022-03-20,-3.12,0.98,0.98,0.0,-6.44,-0.62,5.98,81.78
2022-03-21,-2.32,0.9,0.9,0.0,-7.34,0.91,4.99,71.59
2022-03-22,-0.34,0.0,0.0,0.0,-5.23,4.08,4.46,73.01
2022-03-23,0.86,0.0,0.0,0.0,-2.74,4.41,3.88,79.62
2022-03-24,0.01,0.0,0.0,0.0,-2.22,2.39,4.98,83.73
2022-03-25,2.49,0.22,0.0,0.22,-5.35,8.19,6.18,69.14
2022-03-26,0.24,1.1,1.1,0.0,-2.37,3.73,5.19,86.77
2022-03-27,4.81,0.64,0.0,0.64,-5.42,11.81,5.46,63.72
2022-03-28,7.49,0.0,0.0,0.0,-1.97,14.76,3.43,59.57
2022-03-29,8.73,0.0,0.0,0.0,1.07,13.77,2.98,56.01
2022-03-30,11.21,0.0,0.0,0.0,4.07,15.75,4.37,49.61
2022-03-31,13.61,0.0,0.0,0.0,3.1,17.38,4.06,45.02
2022-04-01,18.2,0.0,0.0,0.0,11.03,22.82,8.18,31.23
2022-04-02,15.8,0.0,0.0,0.0,8.58,20.14,7.54,29.4
2022-04-03,9.52,1.63,0.0,1.63,5.51,15.05,8.25,54.17
2022-04-04,6.43,0.07,0.0,0.07,0.87,11.3,5.0,70.02
2022-04-05,5.31,5.66,0.0,5.66,2.38,8.55,2.79,89.41
2022-04-06,6.95,0.0,0.0,0.0,2.34,12.06,3.52,80.23
2022-04-07,9.5,1.07,0.0,1.07,-0.17,17.46,3.79,68.36
2022-04-08,8.93,8.6,0.0,8.6,6.09,12.43,6.51,80.31
2022-04-09,14.05,1.37,0.0,1.37,2.68,20.3,4.39,54.12
2022-04-10,15.53,0.0,0.0,0.0,5.98,21.37,3.94,49.9
2022-04-11,4.55,2.01,0.0,2.01,0.78,10.56,8.24,83.15
2022-04-12,2.74,0.83,0.0,0.83,-0.23,6.24,7.34,73.49
2022-04-13,2.98,0.05,0.0,0.05,-1.52,6.79,4.87,61.35
2022-04-14,6.01,0.0,0.0,0.0,-1.04,10.87,4.27,55.33
2022-04-15,8.82,0.0,0.0,0.0,0.38,14.5,3.53,58.54
2022-04-16,11.64,0.0,0.0,0.0,1.56,18.01,3.53,58.15
2022-04-17,8.32,1.75,0.0,1.75,3.67,10.8,3.26,76.29
2022-04-18,7.42,0.56,0.0,0.56,4.28,11.43,6.85,85.57
2022-04-19,4.36,1.17,0.0,1.17,2.2,6.33,5.44,91.0
2022-04-20,7.59,0.18,0.0,0.18,-0.91,11.88,4.5,66.3
2022-04-21,8.23,0.0,0.0,0.0,1.16,11.31,5.54,70.49
2022-04-22,12.35,0.0,0.0,0.0,2.19,17.22,2.89,65.21
2022-04-23,17.23,0.0,0.0,0.0,6.11,22.43,3.27,51.77
2022-04-24,15.56,0.18,0.0,0.18,5.91,20.53,3.75,57.22
2022-04-25,16.36,0.0,0.0,0.0,4.85,22.35,4.15,59.31
2022-04-26,14.57,0.0,0.0,0.0,6.53,20.64,3.46,59.77
2022-04-27,12.74,0.0,0.0,0.0,5.03,18.13,4.4,67.12
2022-04-28,12.8,0.0,0.0,0.0,5.2,18.88,3.97,73.92
2022-04-29,10.93,0.0,0.0,0.0,5.76,16.45,3.95,83.68
2022-04-30,8.14,0.42,0.0,0.42,7.16,9.29,2.63,96.18
2022-05-01,8.87,5.24,0.0,5.24,6.04,11.69,4.52,86.14
2022-05-02,10.06,0.0,0.0,0.0,3.63,15.86,3.89,77.94
2022-05-03,9.29,0.22,0.0,0.22,6.26,15.07,3.74,89.92
2022-05-04,7.85,5.53,0.0,5.53,5.13,9.92,5.72,86.68
2022-05-05,8.14,0.95,0.0,0.95,4.11,11.66,4.89,77.35
2022-05-06,6.88,0.22,0.0,0.22,3.52,8.61,5.22,82.41
2022-05-07,7.32,0.0,0.0,0.0,4.87,9.63,4.94,80.74
2022-05-08,9.67,0.0,0.0,0.0,1.24,15.03,5.35,75.6
2022-05-09,10.16,0.0,0.0,0.0,0.7,15.07,5.08,70.3
2022-05-10,10.19,0.0,0.0,0.0,1.15,16.32,4.57,70.76
2022-05-11,10.67,1.19,0.0,1.19,2.71,16.27,4.3,70.7
2022-05-12,12.43,0.0,0.0,0.0,2.74,18.5,3.15,58.95
2022-05-13,15.1,0.0,0.0,0.0,3.2,22.59,3.92,51.49
2022-05-14,16.81,0.0,0.0,0.0,8.05,22.19,4.21,47.49
2022-05-15,16.54,0.0,0.0,0.0,7.56,20.47,4.43,54.23
2022-05-16,13.94,7.11,0.0,7.11,6.77,19.4,3.28,71.13
2022-05-17,16.02,0.0,0.0,0.0,7.26,20.73,3.05,65.52
2022-05-18,15.82,0.27,0.0,0.27,6.43,22.06,7.55,64.81
2022-05-19,8.72,2.87,0.0,2.87,4.1,11.32,6.46,73.01
2022-05-20,12.0,0.0,0.0,0.0,0.76,16.25,4.22,65.61
2022-05-21,17.26,0.0,0.0,0.0,4.3,22.63,3.73,56.21
2022-05-22,18.23,0.18,0.0,0.18,7.13,23.22,5.84,53.68
2022-05-23,13.42,3.04,0.0,3.04,8.9,17.43,5.27,78.18
2022-05-24,14.38,0.07,0.0,0.07,5.47,17.72,4.46,67.63
2022-05-25,16.6,0.0,0.0,0.0,8.02,20.45,4.3,61.2
2022-05-26,20.04,0.0,0.0,0.0,8.06,24.72,4.33,59.2
2022-05-27,18.35,0.0,0.0,0.0,10.28,22.63,4.09,67.08
2022-05-28,19.51,0.18,0.0,0.18,9.63,22.97,5.42,59.57
2022-05-29,22.66,0.0,0.0,0.0,10.8,28.64,4.96,53.36
2022-05-30,22.43,1.37,0.0,1.37,13.51,28.44,6.99,49.55
2022-05-31,18.58,0.0,0.0,0.0,11.29,22.92,4.79,67.77
2022-06-01,17.47,0.0,0.0,0.0,10.88,22.6,4.16,79.75
2022-06-02,17.86,0.0,0.0,0.0,13.24,23.2,4.05,82.07
2022-06-03,17.05,0.18,0.0,0.18,13.59,19.81,4.79,82.8
2022-06-04,18.03,0.9,0.0,0.9,12.66,22.02,4.74,82.4
2022-06-05,19.28,0.0,0.0,0.0,12.99,24.17,4.82,72.7
2022-06-06,17.76,0.0,0.0,0.0,10.29,22.97,5.44,73.43
2022-06-07,15.58,0.96,0.0,0.96,12.8,19.3,3.97,79.86
2022-06-08,16.21,1.74,0.0,1.74,12.37,20.42,4.3,83.13
2022-06-09,17.91,0.11,0.0,0.11,10.81,22.49,4.67,74.14
2022-06-10,20.19,0.86,0.0,0.86,12.21,25.56,4.55,63.41
2022-06-11,15.79,3.6,0.0,3.6,13.06,18.57,5.86,84.7
2022-06-12,15.62,32.55,0.0,32.55,12.23,19.83,4.15,88.59
2022-06-13,17.89,8.36,0.0,8.36,12.8,21.27,4.99,83.41
2022-06-14,19.45,0.46,0.0,0.46,12.01,23.4,4.38,74.11
2022-06-15,17.86,0.88,0.0,0.88,11.22,22.42,3.98,77.69
2022-06-16,17.73,1.49,0.0,1.49,12.83,20.84,5.56,74.93
2022-06-17,17.42,0.0,0.0,0.0,11.08,20.8,4.6,79.33
2022-06-18,18.42,0.05,0.0,0.05,13.43,21.79,5.67,78.81
2022-06-19,17.07,6.05,0.0,6.05,13.85,19.78,6.21,83.65
2022-06-20,20.15,1.96,0.0,1.96,12.23,24.82,4.59,80.42
2022-06-21,16.33,20.25,0.0,20.25,12.61,19.61,4.83,85.04
2022-06-22,19.53,9.33,0.0,9.33,11.61,22.32,6.88,73.33
2022-06-23,18.94,0.27,0.0,0.27,11.82,22.48,5.43,65.75
2022-06-24,14.48,4.51,0.0,4.51,10.56,18.05,5.44,79.46
2022-06-25,15.79,15.5,0.0,15.5,11.83,18.86,6.86,82.52
2022-06-26,14.19,3.76,0.0,3.76,11.42,15.79,5.15,90.3
2022-06-27,14.21,10.76,0.0,10.76,12.28,16.07,6.91,93.37
2022-06-28,15.52,50.85,0.0,50.85,12.65,18.48,4.65,91.58
2022-06-29,16.64,3.94,0.0,3.94,12.37,19.28,3.54,87.33
2022-06-30,17.13,2.09,0.0,2.09,11.68,21.06,3.73,87.39
2022-07-01,19.94,2.77,0.0,2.77,13.27,23.5,4.13,76.24
2022-07-02,19.4,0.0,0.0,0.0,11.44,23.91,4.69,71.85
2022-07-03,18.44,0.0,0.0,0.0,11.52,22.97,5.82,67.69
2022-07-04,18.04,0.0,0.0,0.0,8.76,23.46,4.98,67.55
2022-07-05,18.02,0.0,0.0,0.0,10.23,22.75,4.94,73.95
2022-07-06,19.46,0.0,0.0,0.0,10.87,24.49,4.27,75.08
2022-07-07,19.84,0.0,0.0,0.0,14.5,23.77,4.25,77.75
2022-07-08,20.09,0.12,0.0,0.12,14.72,23.93,4.36,77.42
2022-07-09,19.05,2.4,0.0,2.4,13.41,22.91,4.13,78.09
2022-07-10,15.81,11.14,0.0,11.14,13.18,18.52,5.51,86.21
2022-07-11,17.22,0.38,0.0,0.38,11.34,20.77,3.82,76.22
2022-07-12,17.94,0.0,0.0,0.0,12.19,21.5,4.81,76.13
2022-07-13,16.21,1.53,0.0,1.53,12.15,19.51,4.06,79.24
2022-07-14,17.97,0.18,0.0,0.18,9.66,22.4,5.13,67.54
2022-07-15,18.02,0.0,0.0,0.0,10.17,22.46,5.65,71.33
2022-07-16,18.03,0.0,0.0,0.0,12.0,23.1,5.13,69.9
2022-07-17,20.68,0.0,0.0,0.0,11.66,24.85,4.45,70.37
2022-07-18,18.56,0.03,0.0,0.03,12.04,21.91,7.64,66.42
2022-07-19,16.08,0.36,0.0,0.36,10.78,20.64,6.1,69.26
2022-07-20,19.03,0.0,0.0,0.0,12.21,22.25,5.97,66.39
2022-07-21,19.26,0.05,0.0,0.05,9.08,23.81,4.08,65.35
2022-07-22,19.49,0.01,0.0,0.01,9.8,23.15,4.39,65.76
2022-07-23,19.94,0.0,0.0,0.0,8.69,23.94,4.9,61.56
2022-07-24,20.45,0.0,0.0,0.0,10.09,24.64,4.53,61.61
2022-07-25,20.65,0.0,0.0,0.0,9.13,24.95,4.21,66.48
2022-07-26,20.91,0.0,0.0,0.0,12.32,24.73,4.62,70.41
2022-07-27,21.25,0.0,0.0,0.0,10.84,25.57,4.76,65.07
2022-07-28,21.87,0.0,0.0,0.0,10.35,27.12,5.03,65.71
2022-07-29,21.78,0.0,0.0,0.0,12.42,25.54,4.8,72.7
2022-07-30,19.75,0.0,0.0,0.0,14.08,25.53,4.48,77.74
2022-07-31,21.97,0.6,0.0,0.6,15.64,24.94,4.98,78.15
2022-08-01,22.07,0.14,0.0,0.14,17.34,24.93,5.02,75.09
2022-08-02,21.52,0.0,0.0,0.0,13.85,24.81,4.87,68.15
2022-08-03,21.24,0.0,0.0,0.0,13.62,24.84,5.18,71.67
2022-08-04,20.38,0.3,0.0,0.3,14.2,23.89,5.36,77.13
