,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_tmin,Perşembe Yaylası - Ordu_tmax,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2022-03-07,-0.11,1.32,1.32,0.0,-5.01,4.46,5.92,75.0
2022-03-08,-1.13,7.13,7.13,0.0,-2.35,1.07,12.9,80.58
2022-03-09,-4.19,6.34,6.34,0.0,-5.85,-2.42,13.42,80.95
2022-03-10,-5.47,5.17,5.17,0.0,-6.52,-3.7,12.49,79.53
2022-03-11,-6.98,11.05,11.05,0.0,-8.22,-5.29,16.31,80.38
2022-03-12,-7.6,5.24,5.24,0.0,-11.36,-4.09,10.87,61.94
2022-03-13,-7.36,1.58,1.58,0.0,-10.98,-3.88,12.39,69.81
2022-03-14,-6.93,5.98,5.98,0.0,-8.82,-3.59,11.76,77.18
2022-03-15,-6.59,8.05,8.05,0.0,-9.05,-2.51,9.78,77.35
2022-03-16,-3.03,2.07,2.07,0.0,-6.72,1.02,8.63,65.84
2022-03-17,-5.32,4.7,4.7,0.0,-7.62,-3.36,7.47,81.19
2022-03-18,-8.07,5.39,5.39,0.0,-9.45,-5.91,9.87,78.14
2022-03-19,-8.12,3.86,3.86,0.0,-10.46,-5.15,11.7,70.21
2022-03-20,-6.17,1.07,1.07,0.0,-9.19,-3.2,13.47,80.21
2022-03-21,-4.94,4.5,4.5,0.0,-6.35,-3.4,14.04,75.39
2022-03-22,-3.61,1.05,1.05,0.0,-5.7,-0.25,9.8,75.27
2022-03-23,-3.26,0.72,0.72,0.0,-5.68,-0.77,6.13,76.94
2022-03-24,-2.68,0.23,0.23,0.0,-5.04,0.63,7.29,73.5
2022-03-25,-1.86,0.21,0.21,0.0,-6.14,3.09,7.05,65.3
2022-03-26,-1.59,0.36,0.36,0.0,-5.28,2.93,8.28,65.01
2022-03-27,0.28,0.0,0.0,0.0,-6.68,6.46,10.02,58.47
2022-03-28,1.13,0.35,0.35,0.0,-4.21,5.86,9.57,53.62
2022-03-29,3.64,0.0,0.0,0.0,-4.77,12.16,9.55,55.1
2022-03-30,5.17,0.6,0.0,0.6,0.76,9.46,6.58,59.0
2022-03-31,7.79,0.0,0.0,0.0,-0.92,15.26,10.7,54.12
2022-04-01,11.45,0.0,0.0,0.0,3.77,17.94,12.68,37.57
2022-04-02,14.26,0.09,0.0,0.09,5.18,22.7,16.0,32.8
2022-04-03,8.32,0.0,0.0,0.0,2.96,16.69,10.88,47.04
2022-04-04,4.52,0.0,0.0,0.0,-0.08,9.62,9.67,55.76
2022-04-05,2.86,0.42,0.0,0.42,-1.51,7.21,10.1,68.01
2022-04-06,3.83,1.25,0.0,1.25,0.74,7.63,9.88,72.98
2022-04-07,5.2,0.22,0.0,0.22,-0.23,10.84,7.09,72.22
2022-04-08,5.57,0.67,0.0,0.67,2.39,10.41,7.78,76.11
2022-04-09,6.55,6.16,0.0,6.16,-0.2,13.71,7.46,66.61
2022-04-10,7.57,0.0,0.0,0.0,1.66,13.74,8.62,57.21
2022-04-11,7.02,2.12,0.0,2.12,1.63,18.7,12.21,59.64
2022-04-12,-0.21,19.18,19.18,0.0,-3.08,2.21,15.75,83.11
2022-04-13,-1.12,1.04,1.04,0.0,-5.76,2.96,8.32,67.19
2022-04-14,0.06,0.0,0.0,0.0,-4.49,3.52,9.01,67.63
2022-04-15,2.44,0.27,0.0,0.27,-0.37,6.67,5.82,72.87
2022-04-16,3.44,0.0,0.0,0.0,-3.83,10.38,6.69,69.04
2022-04-17,4.84,0.0,0.0,0.0,-1.18,9.93,6.81,66.88
2022-04-18,11.99,0.12,0.0,0.12,4.69,23.6,14.11,43.98
2022-04-19,4.67,0.49,0.0,0.49,2.45,9.91,10.12,75.84
2022-04-20,2.62,3.4,0.0,3.4,0.32,5.26,8.31,80.07
2022-04-21,3.45,0.4,0.0,0.4,-1.02,8.57,9.38,75.19
2022-04-22,3.33,0.09,0.0,0.09,-1.93,8.52,5.87,74.82
2022-04-23,5.79,0.0,0.0,0.0,-0.87,13.79,5.72,66.65
2022-04-24,8.63,0.0,0.0,0.0,2.21,16.82,9.11,62.65
2022-04-25,8.83,0.0,0.0,0.0,1.42,17.36,5.94,63.94
2022-04-26,8.92,0.0,0.0,0.0,3.66,16.07,8.46,60.84
2022-04-27,7.91,0.0,0.0,0.0,4.03,15.13,8.32,63.78
2022-04-28,7.63,0.0,0.0,0.0,2.99,13.77,8.23,71.09
2022-04-29,7.34,0.0,0.0,0.0,2.7,12.62,6.49,74.18
2022-04-30,5.87,0.29,0.0,0.29,3.32,9.81,8.77,80.57
2022-05-01,4.34,3.81,0.0,3.81,3.16,5.52,12.08,85.78
2022-05-02,5.49,4.64,0.0,4.64,2.88,9.0,9.44,76.23
2022-05-03,5.04,0.0,0.0,0.0,1.25,9.27,5.78,77.63
2022-05-04,4.27,6.13,0.0,6.13,2.72,5.89,10.25,86.38
2022-05-05,2.63,9.71,0.0,9.71,1.28,4.66,11.98,84.75
2022-05-06,3.29,10.46,0.0,10.46,1.95,5.57,12.15,86.87
2022-05-07,2.96,0.9,0.0,0.9,1.9,4.55,13.75,84.27
2022-05-08,3.66,0.0,0.0,0.0,1.69,6.68,8.77,80.27
2022-05-09,4.28,0.44,0.0,0.44,1.59,7.32,6.94,76.52
2022-05-10,5.47,0.0,0.0,0.0,0.13,11.0,6.98,68.61
2022-05-11,5.01,0.0,0.0,0.0,-1.06,11.09,7.06,74.19
2022-05-12,6.08,0.0,0.0,0.0,0.02,12.13,6.43,65.1
2022-05-13,7.3,0.0,0.0,0.0,-1.05,15.11,6.94,58.74
2022-05-14,9.73,0.0,0.0,0.0,1.13,17.87,8.02,59.75
2022-05-15,8.73,0.4,0.0,0.4,4.0,14.61,5.68,62.93
2022-05-16,8.42,0.0,0.0,0.0,2.95,13.82,7.13,67.25
2022-05-17,8.63,0.0,0.0,0.0,1.47,15.51,7.02,60.54
2022-05-18,10.75,0.0,0.0,0.0,1.87,19.72,9.55,58.59
2022-05-19,4.4,5.42,0.0,5.42,1.57,8.53,15.79,76.64
2022-05-20,4.93,3.03,0.0,3.03,1.81,9.39,6.7,72.44
2022-05-21,7.67,0.15,0.0,0.15,-0.4,15.48,7.13,61.43
2022-05-22,10.58,0.0,0.0,0.0,2.25,18.17,7.47,59.62
2022-05-23,8.32,2.83,0.0,2.83,5.48,12.3,9.76,71.81
2022-05-24,6.22,5.58,0.0,5.58,2.95,9.89,7.08,79.75
2022-05-25,8.3,3.44,0.0,3.44,1.4,13.7,7.52,72.53
2022-05-26,9.24,0.0,0.0,0.0,2.01,15.42,6.77,66.23
2022-05-27,10.43,0.0,0.0,0.0,3.5,16.75,7.06,69.11
2022-05-28,11.6,0.0,0.0,0.0,3.42,17.69,7.66,72.88
2022-05-29,13.43,0.0,0.0,0.0,6.18,19.53,6.47,72.57
2022-05-30,14.92,0.0,0.0,0.0,8.33,22.3,7.08,69.12
2022-05-31,14.2,0.0,0.0,0.0,8.95,20.07,7.3,69.88
