tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Şahinkaya Kanyonu - Samsun_temp,Şahinkaya Kanyonu - Samsun_prcp,Şahinkaya Kanyonu - Samsun_snow,Şahinkaya Kanyonu - Samsun_rain,Şahinkaya Kanyonu - Samsun_wspd,Şahinkaya Kanyonu - Samsun_rhum
2023.01.09 - 2023.01.15,0.0,0.0,,708.15,5.46,22.63,0.0,22.63,5.03,80.92
2023.01.16 - 2023.01.22,0.0,0.0,,708.15,6.69,0.0,0.0,0.0,4.89,69.72
2023.01.23 - 2023.01.29,0.0,0.0,,708.15,9.99,0.0,0.0,0.0,5.39,62.66
2023.01.30 - 2023.02.05,708.0,1.0,5.0,708.15,7.74,16.38,0.0,16.38,5.9,73.72
2023.02.06 - 2023.02.12,708.0,1.0,5.0,708.15,4.55,27.02,0.0,27.02,7.58,76.34
2023.02.13 - 2023.02.19,0.0,0.0,,708.15,2.28,21.69,4.44,17.25,8.66,73.76
2023.02.20 - 2023.02.26,0.0,0.0,,708.15,6.43,20.68,0.0,20.68,9.52,62.07
2023.02.27 - 2023.03.05,0.0,0.0,,708.15,10.44,3.04,0.0,3.04,8.52,59.51
2023.03.06 - 2023.03.12,0.0,0.0,,708.15,9.76,20.27,0.0,20.27,6.03,82.41
2023.03.13 - 2023.03.19,0.0,0.0,,708.15,11.57,29.89,0.0,29.89,8.31,67.24
2023.03.20 - 2023.03.26,708.0,1.0,5.0,708.15,8.77,21.43,0.0,21.43,8.21,84.31
2023.03.27 - 2023.04.02,708.0,1.0,5.0,708.15,10.05,10.81,0.0,10.81,5.77,79.99
2023.04.03 - 2023.04.09,0.0,0.0,,708.15,9.11,31.53,0.0,31.53,8.36,70.25
2023.04.10 - 2023.04.16,708.0,1.0,5.0,708.15,11.2,33.88,0.0,33.88,7.35,80.01
2023.04.17 - 2023.04.23,708.0,1.0,5.0,708.15,13.46,15.9,0.0,15.9,5.64,74.41
2023.04.24 - 2023.04.30,708.0,1.0,4.0,708.15,12.82,23.24,0.0,23.24,7.58,79.18
2023.05.01 - 2023.05.07,2124.0,3.0,3.67,708.15,12.44,26.3,0.0,26.3,6.99,77.78
2023.05.08 - 2023.05.14,3540.0,5.0,4.5,708.15,13.39,18.15,0.0,18.15,7.12,74.61
2023.05.15 - 2023.05.21,708.0,1.0,5.0,708.15,13.14,12.89,0.0,12.89,9.54,77.07
2023.05.22 - 2023.05.28,1416.0,2.0,5.0,708.15,16.26,16.79,0.0,16.79,7.56,76.86
2023.05.29 - 2023.06.04,2124.0,3.0,2.75,708.15,17.84,14.21,0.0,14.21,4.97,83.89
2023.06.05 - 2023.06.11,4248.0,6.0,4.7,708.15,18.96,56.39,0.0,56.39,6.0,82.76
