tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Erfelek Tatlıca Şelaleleri - Sinop_temp,Erfelek Tatlıca Şelaleleri - Sinop_prcp,Erfelek Tatlıca Şelaleleri - Sinop_snow,Erfelek Tatlıca Şelaleleri - Sinop_rain,Erfelek Tatlıca Şelaleleri - Sinop_wspd,Erfelek Tatlıca Şelaleleri - Sinop_rhum
2024.11.11 - 2024.11.17,1547.0,6.0,5.0,257.61,8.44,8.51,0.0,8.51,13.32,76.55
2024.11.18 - 2024.11.24,2833.0,11.0,4.75,257.61,9.8,22.19,0.0,22.19,12.05,85.71
2024.11.25 - 2024.12.01,2062.0,8.0,4.9,257.61,9.31,61.28,0.0,61.28,21.09,77.32
2024.12.02 - 2024.12.08,516.0,2.0,5.0,257.61,6.05,26.05,0.0,26.05,13.53,77.4
2024.12.09 - 2024.12.15,258.0,1.0,5.0,257.61,8.1,2.46,0.0,2.46,11.53,74.61
2024.12.16 - 2024.12.22,774.0,3.0,4.67,257.61,3.63,15.3,1.88,13.42,18.65,75.06
2024.12.23 - 2024.12.29,774.0,3.0,4.67,257.61,7.68,2.88,0.0,2.88,16.95,77.04
2024.12.30 - 2025.01.05,258.0,1.0,5.0,257.61,7.01,10.69,0.0,10.69,13.63,76.59
2025.01.06 - 2025.01.12,0.0,0.0,,263.98,5.24,5.18,0.0,5.18,12.41,74.26
2025.01.13 - 2025.01.19,530.0,2.0,5.0,265.04,7.62,10.71,0.0,10.71,11.84,74.97
2025.01.20 - 2025.01.26,265.0,1.0,5.0,265.04,5.0,16.02,0.0,16.02,22.16,79.47
2025.01.27 - 2025.02.02,530.0,2.0,5.0,265.04,6.65,7.5,0.0,7.5,11.6,83.31
2025.02.03 - 2025.02.09,1590.0,6.0,4.62,265.04,5.76,1.11,0.0,1.11,10.74,80.65
2025.02.10 - 2025.02.16,265.0,1.0,5.0,265.04,0.83,61.08,54.73,6.35,18.05,85.19
2025.02.17 - 2025.02.23,1325.0,5.0,5.0,265.04,2.27,37.14,29.99,7.15,13.49,83.21
2025.02.24 - 2025.03.02,530.0,2.0,5.0,265.04,-2.27,59.59,59.59,0.0,18.16,80.51
