tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2024.12.30 - 2025.01.05,1167.0,1.0,4.0,1166.67,2.87,18.56,15.45,3.11,14.61,76.36
2025.01.06 - 2025.01.12,2344.0,2.0,4.5,1171.13,-0.22,18.36,18.29,0.07,11.08,77.07
2025.01.13 - 2025.01.19,0.0,0.0,,1171.88,1.24,2.23,0.0,2.23,10.8,71.34
2025.01.20 - 2025.01.26,0.0,0.0,,1171.88,0.24,22.77,22.77,0.0,12.64,84.16
2025.01.27 - 2025.02.02,3516.0,3.0,5.0,1171.88,0.15,5.09,5.09,0.0,9.81,76.92
2025.02.03 - 2025.02.09,0.0,0.0,,1171.88,0.54,0.0,0.0,0.0,8.87,63.43
2025.02.10 - 2025.02.16,3516.0,3.0,3.67,1171.88,-3.53,35.34,35.34,0.0,14.02,83.73
2025.02.17 - 2025.02.23,2344.0,2.0,5.0,1171.88,-1.37,13.29,13.29,0.0,12.54,77.17
2025.02.24 - 2025.03.02,3516.0,3.0,5.0,1171.88,-7.46,37.81,37.81,0.0,17.35,78.25
2025.03.03 - 2025.03.09,0.0,0.0,,1171.88,-3.2,9.51,9.51,0.0,10.74,75.13
2025.03.10 - 2025.03.16,0.0,0.0,,1171.88,1.91,0.0,0.0,0.0,8.25,66.27
2025.03.17 - 2025.03.23,0.0,0.0,,1171.88,10.84,0.0,0.0,0.0,13.95,50.67
2025.03.24 - 2025.03.30,0.0,0.0,,1171.88,0.06,5.56,4.02,1.54,18.26,74.23
2025.03.31 - 2025.04.06,2344.0,2.0,4.5,1171.88,9.81,14.48,0.0,14.48,13.01,64.48
2025.04.07 - 2025.04.13,4688.0,4.0,5.0,1171.88,6.84,33.17,0.0,33.17,13.39,76.51
2025.04.14 - 2025.04.20,1172.0,1.0,5.0,1171.88,-0.2,55.88,52.33,3.55,14.43,78.54
2025.04.21 - 2025.04.27,1172.0,1.0,4.0,1171.88,5.69,12.73,5.86,6.87,11.13,78.41
