tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Yedigöller Milli Parkı - Bolu_temp,Yedigöller Milli Parkı - Bolu_prcp,Yedigöller Milli Parkı - Bolu_snow,Yedigöller Milli Parkı - Bolu_rain,Yedigöller Milli Parkı - Bolu_wspd,Yedigöller Milli Parkı - Bolu_rhum
2025.01.06 - 2025.01.12,1232.0,7.0,4.5,172.61,2.63,8.09,2.95,5.14,4.99,74.77
2025.01.13 - 2025.01.19,1352.0,8.0,3.42,169.14,5.12,15.24,0.0,15.24,5.14,75.0
2025.01.20 - 2025.01.26,2197.0,13.0,4.27,169.14,1.52,20.94,19.49,1.45,4.94,82.61
2025.01.27 - 2025.02.02,2028.0,12.0,4.29,169.14,3.99,25.59,0.0,25.59,3.89,82.08
2025.02.03 - 2025.02.09,2706.0,16.0,4.38,169.14,4.78,1.16,0.0,1.16,4.37,72.79
2025.02.10 - 2025.02.16,2028.0,12.0,4.43,169.14,-2.0,30.62,30.62,0.0,5.56,84.04
2025.02.17 - 2025.02.23,2198.0,13.0,4.0,169.14,0.69,12.26,8.75,3.51,5.14,80.46
2025.02.24 - 2025.03.02,2367.0,14.0,4.82,169.14,-4.86,31.58,31.58,0.0,6.83,80.75
2025.03.03 - 2025.03.09,338.0,2.0,3.0,169.14,1.39,4.79,2.91,1.88,5.23,73.73
2025.03.10 - 2025.03.16,676.0,4.0,4.83,169.14,3.78,0.08,0.08,0.0,4.68,67.67
2025.03.17 - 2025.03.23,1014.0,6.0,4.22,169.14,14.26,0.06,0.0,0.06,4.29,44.46
2025.03.24 - 2025.03.30,676.0,4.0,4.33,169.14,2.88,5.09,2.52,2.57,5.26,68.75
2025.03.31 - 2025.04.06,1014.0,6.0,4.0,169.14,11.82,7.59,0.0,7.59,5.12,62.81
2025.04.07 - 2025.04.13,5583.0,33.0,4.57,169.14,7.36,9.68,0.0,9.68,6.6,76.35
2025.04.14 - 2025.04.20,3551.0,21.0,4.75,169.14,0.82,29.4,28.37,1.03,7.3,75.25
2025.04.21 - 2025.04.27,2029.0,12.0,4.88,169.14,8.94,0.3,0.0,0.3,5.33,70.98
2025.04.28 - 2025.05.04,2030.0,12.0,4.29,169.14,8.4,27.36,0.0,27.36,6.25,78.6
2025.05.05 - 2025.05.11,3044.0,18.0,5.0,169.14,8.15,6.94,0.0,6.94,5.66,73.64
2025.05.12 - 2025.05.18,2198.0,13.0,4.68,169.14,13.14,21.43,0.0,21.43,5.95,71.25
2025.05.19 - 2025.05.25,4568.0,27.0,4.91,169.14,10.32,7.35,0.0,7.35,6.13,66.06
2025.05.26 - 2025.06.01,3552.0,21.0,4.16,169.14,16.24,13.55,0.0,13.55,6.36,60.81
2025.06.02 - 2025.06.08,3551.0,21.0,4.63,169.14,13.3,22.95,0.0,22.95,5.97,74.11
2025.06.09 - 2025.06.15,6596.0,39.0,4.3,169.14,17.25,0.03,0.0,0.03,5.41,68.24
2025.06.16 - 2025.06.22,7950.0,47.0,4.52,169.14,16.77,0.35,0.0,0.35,6.32,71.21
2025.06.23 - 2025.06.29,5413.0,32.0,4.29,169.14,16.75,0.0,0.0,0.0,6.25,58.76
2025.06.30 - 2025.07.06,3552.0,21.0,4.37,169.14,18.49,5.44,0.0,5.44,5.7,50.66
2025.07.07 - 2025.07.13,5583.0,33.0,4.62,169.14,18.13,6.54,0.0,6.54,6.01,60.92
2025.07.14 - 2025.07.20,5074.0,30.0,4.52,169.14,20.5,0.66,0.0,0.66,6.46,65.6
2025.07.21 - 2025.07.27,5075.0,30.0,4.22,169.14,20.84,3.94,0.0,3.94,6.68,62.9
2025.07.28 - 2025.08.03,7612.0,45.0,4.38,169.14,23.18,0.0,0.0,0.0,5.79,48.74
2025.08.04 - 2025.08.10,7612.0,45.0,4.63,169.14,21.57,19.04,0.0,19.04,7.19,71.88
2025.08.11 - 2025.08.17,7949.0,47.0,4.31,169.14,21.58,1.07,0.0,1.07,6.79,67.43
2025.08.18 - 2025.08.24,7780.0,46.0,4.61,169.14,19.63,0.0,0.0,0.0,7.19,63.88
2025.08.25 - 2025.08.31,8628.0,51.0,4.61,169.14,19.27,1.26,0.0,1.26,6.74,65.28
2025.09.01 - 2025.09.07,9135.0,54.0,4.48,169.14,19.19,0.0,0.0,0.0,6.09,64.52
2025.09.08 - 2025.09.14,7273.0,43.0,4.69,169.14,18.03,12.24,0.0,12.24,5.93,73.34
2025.09.15 - 2025.09.21,4736.0,28.0,4.37,169.14,16.98,1.27,0.0,1.27,5.78,73.06
2025.09.22 - 2025.09.28,4398.0,26.0,4.94,169.14,14.13,22.38,0.0,22.38,6.22,70.95
2025.09.29 - 2025.10.05,7103.0,42.0,4.68,169.14,13.95,10.6,0.0,10.6,5.99,75.38
2025.10.06 - 2025.10.12,5751.0,34.0,4.88,169.14,12.89,11.08,0.0,11.08,5.82,71.5
2025.10.13 - 2025.10.19,6935.0,41.0,4.16,169.14,9.84,43.36,0.0,43.36,6.67,81.71
2025.10.20 - 2025.10.26,8119.0,48.0,4.58,169.14,10.31,19.26,0.0,19.26,4.94,80.9
2025.10.27 - 2025.11.02,14885.0,88.0,4.53,169.14,11.76,21.41,0.0,21.41,5.1,78.58
2025.11.03 - 2025.11.09,22833.0,135.0,4.31,169.14,9.1,27.23,0.0,27.23,3.87,71.12
2025.11.10 - 2025.11.16,20127.0,119.0,4.26,169.14,11.05,0.11,0.0,0.11,3.55,76.98
2025.11.17 - 2025.11.23,28417.0,168.0,4.3,169.14,7.41,16.72,0.0,16.72,4.94,77.36
2025.11.24 - 2025.11.30,24694.0,146.0,4.38,169.14,11.21,12.31,0.0,12.31,5.08,59.23
2025.12.01 - 2025.12.07,13530.0,80.0,4.49,169.14,8.09,9.25,0.0,9.25,4.8,73.82
2025.12.08 - 2025.12.14,7781.0,46.0,4.72,169.14,6.78,18.19,0.0,18.19,5.21,74.04
2025.12.15 - 2025.12.21,4736.0,28.0,4.55,169.14,4.28,16.46,0.0,16.46,4.65,84.9
2025.12.22 - 2025.12.28,2367.0,14.0,3.67,169.14,2.5,8.03,0.0,8.03,3.66,77.73
2025.12.29 - 2026.01.04,2198.0,13.0,4.56,169.14,1.44,54.28,47.63,6.65,7.3,85.76
2026.01.05 - 2026.01.11,676.0,4.0,4.5,169.14,-2.8,17.02,17.02,0.0,6.91,79.67
