tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Gölcük Tabiat Parkı - Bolu_temp,Gölcük Tabiat Parkı - Bolu_prcp,Gölcük Tabiat Parkı - Bolu_snow,Gölcük Tabiat Parkı - Bolu_rain,Gölcük Tabiat Parkı - Bolu_wspd,Gölcük Tabiat Parkı - Bolu_rhum
2024.12.30 - 2025.01.05,7336.0,28.0,4.76,261.99,2.74,20.89,18.92,1.97,4.95,75.41
2025.01.06 - 2025.01.12,6712.0,39.0,4.94,176.16,0.14,3.29,0.99,2.3,3.58,76.05
2025.01.13 - 2025.01.19,3237.0,20.0,4.93,161.85,2.37,10.77,7.85,2.92,3.34,76.59
2025.01.20 - 2025.01.26,6475.0,40.0,4.82,161.85,-0.32,22.92,22.92,0.0,3.81,81.59
2025.01.27 - 2025.02.02,11491.0,71.0,4.82,161.85,1.63,22.54,10.35,12.19,2.81,82.13
2025.02.03 - 2025.02.09,9226.0,57.0,4.84,161.85,2.23,0.34,0.28,0.06,3.41,71.67
2025.02.10 - 2025.02.16,5341.0,33.0,4.79,161.85,-3.82,13.6,13.6,0.0,4.48,80.39
2025.02.17 - 2025.02.23,6959.0,43.0,4.83,161.85,-1.03,7.94,5.8,2.14,3.89,77.79
2025.02.24 - 2025.03.02,5664.0,35.0,4.88,161.85,-7.08,23.78,23.78,0.0,5.19,80.29
2025.03.03 - 2025.03.09,3561.0,22.0,4.98,161.85,-0.44,1.34,0.81,0.53,4.69,70.88
2025.03.10 - 2025.03.16,2913.0,18.0,4.43,161.85,2.94,0.02,0.02,0.0,4.02,60.77
2025.03.17 - 2025.03.23,1782.0,11.0,4.25,161.85,11.83,0.08,0.0,0.08,2.98,42.65
2025.03.24 - 2025.03.30,1458.0,9.0,4.92,161.85,0.95,5.41,5.41,0.0,4.69,66.86
2025.03.31 - 2025.04.06,2266.0,14.0,4.81,161.85,10.35,8.5,0.0,8.5,4.41,59.93
2025.04.07 - 2025.04.13,9872.0,61.0,4.76,161.85,6.15,7.42,0.0,7.42,5.9,72.45
2025.04.14 - 2025.04.20,4856.0,30.0,4.76,161.85,-1.21,29.21,29.21,0.0,5.79,75.19
2025.04.21 - 2025.04.27,3561.0,22.0,4.92,161.85,8.65,0.57,0.0,0.57,4.8,62.42
2025.04.28 - 2025.05.04,4047.0,25.0,4.51,161.85,7.81,33.77,0.0,33.77,5.17,73.14
2025.05.05 - 2025.05.11,5502.0,34.0,4.91,161.85,7.11,6.27,0.0,6.27,4.96,70.37
2025.05.12 - 2025.05.18,3237.0,20.0,4.82,161.85,11.98,25.67,0.0,25.67,4.69,68.54
2025.05.19 - 2025.05.25,5828.0,36.0,4.74,161.85,8.8,7.46,0.0,7.46,5.6,62.19
2025.05.26 - 2025.06.01,5181.0,32.0,4.84,161.85,14.57,13.88,0.0,13.88,5.37,59.33
2025.06.02 - 2025.06.08,4856.0,30.0,4.84,161.85,11.37,34.07,0.0,34.07,5.06,72.79
2025.06.09 - 2025.06.15,8416.0,52.0,4.69,161.85,16.25,0.01,0.0,0.01,4.76,62.54
2025.06.16 - 2025.06.22,9226.0,57.0,4.74,161.85,15.37,0.18,0.0,0.18,5.61,65.05
2025.06.23 - 2025.06.29,7283.0,45.0,4.62,161.85,15.06,0.01,0.0,0.01,5.42,54.27
2025.06.30 - 2025.07.06,8417.0,52.0,4.88,161.85,16.84,4.57,0.0,4.57,4.99,46.65
2025.07.07 - 2025.07.13,5826.0,36.0,4.77,161.85,16.45,8.69,0.0,8.69,5.01,56.16
2025.07.14 - 2025.07.20,11815.0,73.0,4.77,161.85,19.61,0.2,0.0,0.2,5.89,58.12
2025.07.21 - 2025.07.27,13595.0,84.0,4.84,161.85,19.54,5.76,0.0,5.76,5.84,58.55
2025.07.28 - 2025.08.03,11168.0,69.0,4.75,161.85,22.29,0.0,0.0,0.0,4.92,42.3
2025.08.04 - 2025.08.10,11977.0,74.0,4.83,161.85,20.65,16.7,0.0,16.7,5.93,66.54
2025.08.11 - 2025.08.17,11816.0,73.0,4.9,161.85,20.72,1.09,0.0,1.09,5.7,58.77
2025.08.18 - 2025.08.24,14729.0,91.0,4.64,161.85,18.95,0.0,0.0,0.0,5.47,57.22
2025.08.25 - 2025.08.31,16510.0,102.0,4.64,161.85,18.06,0.84,0.0,0.84,5.77,59.74
2025.09.01 - 2025.09.07,12949.0,80.0,4.78,161.85,18.21,0.0,0.0,0.0,5.09,58.68
2025.09.08 - 2025.09.14,11816.0,73.0,4.89,161.85,16.41,11.8,0.0,11.8,4.85,68.44
2025.09.15 - 2025.09.21,9063.0,56.0,4.85,161.85,15.44,1.14,0.0,1.14,4.69,67.83
2025.09.22 - 2025.09.28,6959.0,43.0,4.93,161.85,12.12,20.14,0.0,20.14,4.97,68.45
2025.09.29 - 2025.10.05,6797.0,42.0,4.82,161.85,12.42,10.04,0.0,10.04,4.37,71.25
2025.10.06 - 2025.10.12,6312.0,39.0,4.84,161.85,11.0,7.66,0.0,7.66,4.58,68.7
2025.10.13 - 2025.10.19,7283.0,45.0,4.67,161.85,7.93,28.44,0.0,28.44,4.89,79.54
2025.10.20 - 2025.10.26,6312.0,39.0,4.81,161.85,8.59,15.93,0.0,15.93,3.83,77.25
2025.10.27 - 2025.11.02,7607.0,47.0,4.83,161.85,9.69,20.82,0.0,20.82,3.83,79.54
2025.11.03 - 2025.11.09,14568.0,90.0,4.81,161.85,6.95,22.6,0.0,22.6,2.9,69.42
2025.11.10 - 2025.11.16,14405.0,89.0,4.92,161.85,8.96,0.48,0.0,0.48,2.56,72.68
2025.11.17 - 2025.11.23,20717.0,128.0,4.69,161.85,4.93,11.45,0.0,11.45,3.88,77.13
2025.11.24 - 2025.11.30,14891.0,92.0,4.81,161.85,7.91,11.35,0.0,11.35,3.27,61.05
2025.12.01 - 2025.12.07,9065.0,56.0,4.72,161.85,5.61,5.23,0.0,5.23,3.58,73.59
2025.12.08 - 2025.12.14,7284.0,45.0,4.5,161.85,4.27,14.41,0.0,14.41,3.62,74.83
2025.12.15 - 2025.12.21,4370.0,27.0,4.73,161.85,2.23,5.25,2.31,2.94,3.84,83.08
2025.12.22 - 2025.12.28,2268.0,14.0,4.86,161.85,-0.01,4.13,4.13,0.0,2.38,78.49
2025.12.29 - 2026.01.04,5018.0,31.0,4.89,161.85,-0.86,51.77,51.28,0.49,5.05,87.04
2026.01.05 - 2026.01.11,648.0,4.0,4.75,161.85,-5.86,11.38,11.38,0.0,4.46,82.92
