tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Şaşvat karagöl - Artvin_temp,Şaşvat karagöl - Artvin_prcp,Şaşvat karagöl - Artvin_snow,Şaşvat karagöl - Artvin_rain,Şaşvat karagöl - Artvin_wspd,Şaşvat karagöl - Artvin_rhum
2024.12.30 - 2025.01.05,0.0,0.0,,1440.33,-2.34,21.4,21.4,0.0,11.5,73.62
2025.01.06 - 2025.01.12,0.0,0.0,,1122.49,-5.14,12.79,12.79,0.0,9.66,70.04
2025.01.13 - 2025.01.19,1070.0,1.0,5.0,1069.52,-2.83,0.0,0.0,0.0,12.07,60.03
2025.01.20 - 2025.01.26,0.0,0.0,,1069.52,-4.94,81.49,81.49,0.0,10.31,84.96
2025.01.27 - 2025.02.02,0.0,0.0,,1069.52,-4.77,1.37,1.37,0.0,10.29,64.76
2025.02.03 - 2025.02.09,1070.0,1.0,5.0,1069.52,-4.28,0.0,0.0,0.0,9.97,54.42
2025.02.10 - 2025.02.16,0.0,0.0,,1069.52,-6.5,14.45,14.45,0.0,7.29,79.42
2025.02.17 - 2025.02.23,0.0,0.0,,1069.52,-5.34,8.13,8.13,0.0,9.02,67.33
2025.02.24 - 2025.03.02,2140.0,2.0,3.0,1069.52,-10.32,70.33,70.33,0.0,10.9,79.24
2025.03.03 - 2025.03.09,0.0,0.0,,1069.52,-9.54,53.62,53.62,0.0,10.76,73.01
2025.03.10 - 2025.03.16,2140.0,2.0,3.0,1069.52,-3.29,1.58,1.58,0.0,7.56,64.2
2025.03.17 - 2025.03.23,1070.0,1.0,5.0,1069.52,4.64,0.0,0.0,0.0,13.1,46.52
2025.03.24 - 2025.03.30,1070.0,1.0,5.0,1069.52,-3.84,14.79,14.79,0.0,8.89,74.99
2025.03.31 - 2025.04.06,0.0,0.0,,1069.52,5.93,6.96,0.0,6.96,11.43,62.11
2025.04.07 - 2025.04.13,5348.0,5.0,4.5,1069.52,4.72,22.89,0.0,22.89,10.57,69.76
2025.04.14 - 2025.04.20,3209.0,3.0,5.0,1069.52,-2.23,36.38,36.38,0.0,10.01,78.93
2025.04.21 - 2025.04.27,2140.0,2.0,3.0,1069.52,2.22,23.96,14.24,9.72,8.8,77.36
2025.04.28 - 2025.05.04,2140.0,2.0,5.0,1069.52,4.6,24.98,2.2,22.78,8.91,79.71
