tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Hıdırnebi yaylası - Trabzon_temp,Hıdırnebi yaylası - Trabzon_prcp,Hıdırnebi yaylası - Trabzon_snow,Hıdırnebi yaylası - Trabzon_rain,Hıdırnebi yaylası - Trabzon_wspd,Hıdırnebi yaylası - Trabzon_rhum
2025.01.06 - 2025.01.12,612.0,2.0,5.0,306.4,-0.94,18.64,18.64,0.0,8.4,70.94
2025.01.13 - 2025.01.19,1835.0,6.0,4.42,305.71,1.5,0.39,0.0,0.39,5.72,64.07
2025.01.20 - 2025.01.26,306.0,1.0,5.0,305.71,-0.63,38.32,38.32,0.0,9.7,83.91
2025.01.27 - 2025.02.02,306.0,1.0,5.0,305.71,0.18,5.67,5.67,0.0,6.2,69.21
2025.02.03 - 2025.02.09,306.0,1.0,3.0,305.71,0.06,0.06,0.06,0.0,4.77,59.92
2025.02.10 - 2025.02.16,612.0,2.0,5.0,305.71,-3.23,39.49,39.49,0.0,10.29,77.55
2025.02.17 - 2025.02.23,612.0,2.0,3.0,305.71,-1.28,9.43,9.43,0.0,8.54,71.56
2025.02.24 - 2025.03.02,612.0,2.0,5.0,305.71,-7.0,43.22,43.22,0.0,15.49,74.37
2025.03.03 - 2025.03.09,612.0,2.0,4.5,305.71,-3.83,11.71,11.71,0.0,8.13,72.0
2025.03.10 - 2025.03.16,0.0,0.0,,305.71,0.08,0.86,0.86,0.0,4.87,74.31
2025.03.17 - 2025.03.23,306.0,1.0,5.0,305.71,10.05,0.0,0.0,0.0,12.25,50.38
2025.03.24 - 2025.03.30,0.0,0.0,,305.71,-1.28,18.66,17.5,1.16,9.8,75.35
2025.03.31 - 2025.04.06,611.0,2.0,5.0,305.71,7.34,15.33,0.0,15.33,9.14,70.09
2025.04.07 - 2025.04.13,2445.0,8.0,4.62,305.71,5.69,31.91,0.0,31.91,10.53,77.7
2025.04.14 - 2025.04.20,1223.0,4.0,4.67,305.71,-0.69,71.17,66.36,4.81,12.76,78.4
2025.04.21 - 2025.04.27,3668.0,12.0,5.0,305.71,2.68,13.58,8.95,4.63,9.28,84.93
2025.04.28 - 2025.05.04,4279.0,14.0,4.67,305.71,4.72,23.12,0.0,23.12,9.23,85.18
2025.05.05 - 2025.05.11,3975.0,13.0,4.78,305.71,5.14,15.7,0.0,15.7,8.68,79.09
2025.05.12 - 2025.05.18,10701.0,35.0,4.58,305.71,9.17,29.25,0.0,29.25,9.93,75.9
2025.05.19 - 2025.05.25,8255.0,27.0,4.62,305.71,7.29,33.29,0.0,33.29,10.51,76.07
2025.05.26 - 2025.06.01,10700.0,35.0,4.67,305.71,10.52,0.41,0.0,0.41,8.62,67.97
2025.06.02 - 2025.06.08,10089.0,33.0,4.66,305.71,10.26,19.95,0.0,19.95,9.51,79.75
2025.06.09 - 2025.06.15,11923.0,39.0,4.55,305.71,11.87,20.25,0.0,20.25,8.13,75.22
2025.06.16 - 2025.06.22,16203.0,53.0,4.55,305.71,13.49,5.15,0.0,5.15,10.78,72.47
2025.06.23 - 2025.06.29,13145.0,43.0,4.51,305.71,12.82,5.42,0.0,5.42,10.58,67.52
2025.06.30 - 2025.07.06,18649.0,61.0,4.57,305.71,13.95,15.91,0.0,15.91,10.76,63.45
2025.07.07 - 2025.07.13,19258.0,63.0,4.73,305.71,13.18,17.42,0.0,17.42,11.26,70.29
2025.07.14 - 2025.07.20,30264.0,99.0,4.53,305.71,17.78,9.62,0.0,9.62,8.03,72.2
2025.07.21 - 2025.07.27,32711.0,107.0,4.56,305.71,17.95,13.98,0.0,13.98,9.42,72.4
2025.07.28 - 2025.08.03,41270.0,135.0,4.49,305.71,18.82,1.7,0.0,1.7,9.12,71.33
2025.08.04 - 2025.08.10,36990.0,121.0,4.21,305.71,19.71,23.56,0.0,23.56,10.43,74.33
2025.08.11 - 2025.08.17,31183.0,102.0,4.49,305.71,18.58,11.92,0.0,11.92,11.13,73.01
2025.08.18 - 2025.08.24,28126.0,92.0,4.5,305.71,17.09,0.53,0.0,0.53,9.73,62.04
2025.08.25 - 2025.08.31,26290.0,86.0,4.45,305.71,17.31,22.01,0.0,22.01,11.42,68.7
2025.09.01 - 2025.09.07,14979.0,49.0,4.53,305.71,16.39,1.33,0.0,1.33,8.7,69.79
2025.09.08 - 2025.09.14,16204.0,53.0,4.51,305.71,15.79,45.87,0.0,45.87,9.58,78.68
2025.09.15 - 2025.09.21,11005.0,36.0,4.44,305.71,13.87,6.46,0.0,6.46,10.61,67.93
2025.09.22 - 2025.09.28,9476.0,31.0,4.88,305.71,11.35,37.21,0.0,37.21,15.54,69.68
2025.09.29 - 2025.10.05,5198.0,17.0,4.67,305.71,11.03,3.79,0.0,3.79,10.69,70.94
2025.10.06 - 2025.10.12,7338.0,24.0,4.81,305.71,10.76,33.31,0.0,33.31,8.51,75.8
