tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2025.01.06 - 2025.01.12,1160.0,2.0,5.0,582.02,-2.7,21.61,21.61,0.0,11.39,70.95
2025.01.13 - 2025.01.19,580.0,1.0,5.0,580.15,-0.14,1.13,1.13,0.0,9.8,64.72
2025.01.20 - 2025.01.26,580.0,1.0,5.0,580.15,-2.61,38.03,38.03,0.0,12.83,85.9
2025.01.27 - 2025.02.02,1160.0,2.0,5.0,580.15,-1.62,5.36,5.36,0.0,9.0,70.47
2025.02.03 - 2025.02.09,2320.0,4.0,4.83,580.15,-1.44,0.02,0.02,0.0,8.09,60.43
2025.02.10 - 2025.02.16,2320.0,4.0,4.5,580.15,-5.45,45.05,45.05,0.0,13.42,81.83
2025.02.17 - 2025.02.23,1160.0,2.0,3.0,580.15,-3.34,12.66,12.66,0.0,10.52,75.34
2025.02.24 - 2025.03.02,1160.0,2.0,3.0,580.15,-9.21,51.24,51.24,0.0,19.18,75.39
2025.03.03 - 2025.03.09,1160.0,2.0,5.0,580.15,-5.63,11.12,11.12,0.0,10.93,72.61
2025.03.10 - 2025.03.16,1740.0,3.0,4.75,580.15,-1.76,0.59,0.59,0.0,6.85,74.27
2025.03.17 - 2025.03.23,0.0,0.0,,580.15,8.22,0.0,0.0,0.0,14.55,55.61
2025.03.24 - 2025.03.30,580.0,1.0,5.0,580.15,-3.36,20.3,20.3,0.0,15.78,74.69
2025.03.31 - 2025.04.06,1740.0,3.0,5.0,580.15,5.33,11.99,0.0,11.99,11.72,71.5
2025.04.07 - 2025.04.13,4640.0,8.0,4.6,580.15,3.62,32.63,23.7,8.93,12.04,79.07
2025.04.14 - 2025.04.20,0.0,0.0,,580.15,-2.83,75.12,75.12,0.0,14.7,79.29
2025.04.21 - 2025.04.27,0.0,0.0,,580.15,0.78,17.27,16.79,0.48,10.51,85.0
2025.04.28 - 2025.05.04,580.0,1.0,5.0,580.15,2.73,19.24,6.25,12.99,9.85,86.03
2025.05.05 - 2025.05.11,3480.0,6.0,5.0,580.15,2.99,14.61,0.0,14.61,9.57,80.97
2025.05.12 - 2025.05.18,1740.0,3.0,4.67,580.15,7.08,33.28,0.0,33.28,10.62,78.21
2025.05.19 - 2025.05.25,5801.0,10.0,4.5,580.15,5.55,35.31,0.0,35.31,12.27,78.34
2025.05.26 - 2025.06.01,3480.0,6.0,4.0,580.15,8.68,0.25,0.0,0.25,9.12,71.16
2025.06.02 - 2025.06.08,2900.0,5.0,5.0,580.15,8.37,20.55,0.0,20.55,11.1,81.62
2025.06.09 - 2025.06.15,9282.0,16.0,4.96,580.15,9.97,25.54,0.0,25.54,9.13,77.14
2025.06.16 - 2025.06.22,11022.0,19.0,4.55,580.15,11.53,4.94,0.0,4.94,11.16,75.58
2025.06.23 - 2025.06.29,9861.0,17.0,3.68,580.15,10.85,3.3,0.0,3.3,10.42,70.3
2025.06.30 - 2025.07.06,9862.0,17.0,4.74,580.15,12.0,19.92,0.0,19.92,12.04,67.12
2025.07.07 - 2025.07.13,11602.0,20.0,4.68,580.15,11.29,20.31,0.0,20.31,12.86,75.08
2025.07.14 - 2025.07.20,15664.0,27.0,4.7,580.15,15.85,3.09,0.0,3.09,8.26,72.86
2025.07.21 - 2025.07.27,27847.0,48.0,4.38,580.15,15.95,9.44,0.0,9.44,10.79,74.35
2025.07.28 - 2025.08.03,19724.0,34.0,4.6,580.15,16.97,0.96,0.0,0.96,10.04,72.25
2025.08.04 - 2025.08.10,29008.0,50.0,4.57,580.15,17.57,27.75,0.0,27.75,12.47,77.08
2025.08.11 - 2025.08.17,20887.0,36.0,4.5,580.15,16.73,13.33,0.0,13.33,13.05,75.76
2025.08.18 - 2025.08.24,25526.0,44.0,4.69,580.15,15.22,0.17,0.0,0.17,10.12,63.7
2025.08.25 - 2025.08.31,33648.0,58.0,4.65,580.15,15.25,27.4,0.0,27.4,12.89,70.52
2025.09.01 - 2025.09.07,24367.0,42.0,4.71,580.15,13.96,2.67,0.0,2.67,9.52,71.93
2025.09.08 - 2025.09.14,20305.0,35.0,4.5,580.15,13.72,45.26,0.0,45.26,10.12,80.96
2025.09.15 - 2025.09.21,7541.0,13.0,4.96,580.15,11.8,4.12,0.0,4.12,11.06,73.04
2025.09.22 - 2025.09.28,9281.0,16.0,5.0,580.15,9.26,48.23,0.0,48.23,18.22,74.46
2025.09.29 - 2025.10.05,8120.0,14.0,4.69,580.15,8.93,2.68,0.0,2.68,12.0,73.36
2025.10.06 - 2025.10.12,6960.0,12.0,4.92,580.15,8.8,38.01,0.0,38.01,10.04,77.04
2025.10.13 - 2025.10.19,6380.0,11.0,4.83,580.15,7.38,30.49,0.0,30.49,13.07,73.2
2025.10.20 - 2025.10.26,7541.0,13.0,4.42,580.15,5.64,18.8,0.0,18.8,10.4,76.05
2025.10.27 - 2025.11.02,2900.0,5.0,4.5,580.15,7.38,13.27,0.0,13.27,12.33,72.69
2025.11.03 - 2025.11.09,8702.0,15.0,4.79,580.15,5.2,20.99,0.0,20.99,11.4,68.6
2025.11.10 - 2025.11.16,3480.0,6.0,4.9,580.15,5.9,0.26,0.0,0.26,8.96,68.74
2025.11.17 - 2025.11.23,2320.0,4.0,5.0,580.15,4.07,77.5,33.49,44.01,12.12,77.08
2025.11.24 - 2025.11.30,1740.0,3.0,5.0,580.15,6.31,0.0,0.0,0.0,12.02,48.75
2025.12.01 - 2025.12.07,2900.0,5.0,4.75,580.15,4.13,4.47,0.0,4.47,9.83,64.33
2025.12.08 - 2025.12.14,2320.0,4.0,4.67,580.15,2.26,3.69,0.67,3.02,9.92,69.75
2025.12.15 - 2025.12.21,1160.0,2.0,5.0,580.15,-0.17,61.39,50.84,10.55,12.18,83.97
2025.12.22 - 2025.12.28,1740.0,3.0,5.0,580.15,-1.52,15.27,15.27,0.0,10.06,69.26
2025.12.29 - 2026.01.04,0.0,0.0,,580.15,-2.73,30.85,30.85,0.0,13.3,75.28
2026.01.05 - 2026.01.11,0.0,0.0,,580.15,-4.0,6.43,6.43,0.0,24.08,57.64
