tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Valla Kanyonu - Kastamonu_temp,Valla Kanyonu - Kastamonu_prcp,Valla Kanyonu - Kastamonu_snow,Valla Kanyonu - Kastamonu_rain,Valla Kanyonu - Kastamonu_wspd,Valla Kanyonu - Kastamonu_rhum
2025.01.13 - 2025.01.19,323.0,1.0,5.0,322.58,7.51,16.72,0.0,16.72,9.43,80.53
2025.01.20 - 2025.01.26,0.0,0.0,,322.58,5.35,12.56,0.0,12.56,11.13,87.17
2025.01.27 - 2025.02.02,646.0,2.0,5.0,322.58,6.88,8.4,0.0,8.4,7.04,86.58
2025.02.03 - 2025.02.09,0.0,0.0,,322.58,5.81,2.33,0.0,2.33,9.08,80.52
2025.02.10 - 2025.02.16,2582.0,8.0,4.45,322.58,0.45,43.73,37.11,6.62,10.39,91.85
2025.02.17 - 2025.02.23,646.0,2.0,5.0,322.58,2.46,29.16,7.41,21.75,9.08,88.63
2025.02.24 - 2025.03.02,323.0,1.0,5.0,322.58,-2.53,54.96,54.96,0.0,10.67,87.17
2025.03.03 - 2025.03.09,645.0,2.0,5.0,322.58,2.29,13.53,3.12,10.41,9.63,82.25
2025.03.10 - 2025.03.16,323.0,1.0,5.0,322.58,5.3,0.23,0.0,0.23,9.03,75.33
2025.03.17 - 2025.03.23,0.0,0.0,,322.58,15.24,0.0,0.0,0.0,10.85,47.37
2025.03.24 - 2025.03.30,0.0,0.0,,322.58,4.86,0.0,0.0,0.0,9.32,78.03
2025.03.31 - 2025.04.06,1936.0,6.0,4.72,322.58,12.6,5.58,0.0,5.58,7.66,73.14
2025.04.07 - 2025.04.13,3871.0,12.0,5.0,322.58,8.82,21.71,0.0,21.71,9.22,89.79
2025.04.14 - 2025.04.20,1614.0,5.0,5.0,322.58,3.34,38.52,6.82,31.7,13.17,81.11
2025.04.21 - 2025.04.27,1292.0,4.0,5.0,322.58,9.55,4.48,0.0,4.48,7.42,82.85
2025.04.28 - 2025.05.04,323.0,1.0,5.0,322.58,9.58,24.37,0.0,24.37,7.05,88.42
2025.05.05 - 2025.05.11,968.0,3.0,5.0,322.58,9.62,4.98,0.0,4.98,8.24,78.78
2025.05.12 - 2025.05.18,3225.0,10.0,4.8,322.58,14.24,15.84,0.0,15.84,8.95,78.26
2025.05.19 - 2025.05.25,4517.0,14.0,4.94,322.58,12.23,9.26,0.0,9.26,10.67,75.51
2025.05.26 - 2025.06.01,1936.0,6.0,4.88,322.58,17.15,5.72,0.0,5.72,10.46,67.66
