tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Horma Kanyonu - Kastamonu_temp,Horma Kanyonu - Kastamonu_prcp,Horma Kanyonu - Kastamonu_snow,Horma Kanyonu - Kastamonu_rain,Horma Kanyonu - Kastamonu_wspd,Horma Kanyonu - Kastamonu_rhum
2023.01.09 - 2023.01.15,696.0,3.0,5.0,231.7,3.85,11.39,0.0,11.39,9.37,81.48
2023.01.16 - 2023.01.22,232.0,1.0,5.0,231.7,4.55,1.14,0.0,1.14,7.4,79.44
2023.01.23 - 2023.01.29,927.0,4.0,5.0,231.7,7.94,0.0,0.0,0.0,10.19,63.51
2023.01.30 - 2023.02.05,1391.0,6.0,5.0,231.7,3.61,13.52,2.48,11.04,9.19,80.2
2023.02.06 - 2023.02.12,927.0,4.0,5.0,231.7,0.97,22.14,22.14,0.0,11.39,79.44
2023.02.13 - 2023.02.19,464.0,2.0,4.5,231.7,-1.21,28.22,28.22,0.0,10.11,77.89
2023.02.20 - 2023.02.26,464.0,2.0,5.0,231.7,3.51,51.21,44.27,6.94,14.08,63.83
2023.02.27 - 2023.03.05,232.0,1.0,4.0,231.7,7.74,0.21,0.0,0.21,10.94,59.78
2023.03.06 - 2023.03.12,232.0,1.0,5.0,231.7,6.43,31.72,0.0,31.72,6.47,88.71
2023.03.13 - 2023.03.19,1391.0,6.0,4.0,231.7,8.23,24.49,0.0,24.49,10.63,67.29
2023.03.20 - 2023.03.26,232.0,1.0,5.0,231.7,5.34,24.22,0.0,24.22,6.75,88.13
2023.03.27 - 2023.04.02,463.0,2.0,5.0,231.7,7.4,8.27,0.0,8.27,6.75,80.07
2023.04.03 - 2023.04.09,232.0,1.0,5.0,231.7,6.21,33.66,15.82,17.84,11.55,69.34
2023.04.10 - 2023.04.16,0.0,0.0,,231.7,7.79,20.01,0.0,20.01,8.06,81.75
2023.04.17 - 2023.04.23,464.0,2.0,5.0,231.7,10.44,7.09,0.0,7.09,8.4,72.56
2023.04.24 - 2023.04.30,5792.0,25.0,4.98,231.7,9.12,19.96,0.0,19.96,9.62,80.78
2023.05.01 - 2023.05.07,4866.0,21.0,4.95,231.7,8.67,32.74,0.0,32.74,11.96,73.62
2023.05.08 - 2023.05.14,4402.0,19.0,4.95,231.7,10.74,23.38,0.0,23.38,7.93,73.84
2023.05.15 - 2023.05.21,1391.0,6.0,5.0,231.7,10.24,4.91,0.0,4.91,8.34,79.3
2023.05.22 - 2023.05.28,6024.0,26.0,5.0,231.7,13.22,22.15,0.0,22.15,6.79,82.82
2023.05.29 - 2023.06.04,3938.0,17.0,4.62,231.7,13.95,20.43,0.0,20.43,5.39,91.66
2023.06.05 - 2023.06.11,2085.0,9.0,4.81,231.7,14.94,73.35,0.0,73.35,8.48,86.83
