tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Ulugöl Tabiat Parkı - Ordu_temp,Ulugöl Tabiat Parkı - Ordu_prcp,Ulugöl Tabiat Parkı - Ordu_snow,Ulugöl Tabiat Parkı - Ordu_rain,Ulugöl Tabiat Parkı - Ordu_wspd,Ulugöl Tabiat Parkı - Ordu_rhum
2023.01.09 - 2023.01.15,1722.0,2.0,5.0,861.42,-0.98,10.76,10.76,0.0,7.58,75.03
2023.01.16 - 2023.01.22,861.0,1.0,5.0,861.42,-0.44,0.08,0.08,0.0,11.72,63.62
2023.01.23 - 2023.01.29,861.0,1.0,3.0,861.42,2.32,0.0,0.0,0.0,11.34,63.51
2023.01.30 - 2023.02.05,2583.0,3.0,5.0,861.42,-0.08,8.82,6.86,1.96,11.51,74.68
2023.02.06 - 2023.02.12,2583.0,3.0,4.67,861.42,-3.4,38.55,38.55,0.0,13.39,80.52
2023.02.13 - 2023.02.19,2584.0,3.0,5.0,861.42,-6.88,21.95,21.95,0.0,13.72,79.22
2023.02.20 - 2023.02.26,0.0,0.0,,861.42,-3.69,24.88,24.88,0.0,15.2,72.15
2023.02.27 - 2023.03.05,2583.0,3.0,4.67,861.42,1.37,5.05,5.05,0.0,15.51,66.41
2023.03.06 - 2023.03.12,861.0,1.0,5.0,861.42,4.43,31.32,0.0,31.32,12.15,77.05
2023.03.13 - 2023.03.19,3446.0,4.0,5.0,861.42,5.14,27.04,22.7,4.34,15.59,66.28
2023.03.20 - 2023.03.26,0.0,0.0,,861.42,3.31,38.83,19.17,19.66,13.69,85.36
2023.03.27 - 2023.04.02,1722.0,2.0,3.0,861.42,4.15,11.52,2.52,9.0,9.1,80.26
2023.04.03 - 2023.04.09,0.0,0.0,,861.42,1.92,46.02,31.37,14.65,15.09,73.81
2023.04.10 - 2023.04.16,1722.0,2.0,4.5,861.42,6.13,32.53,0.0,32.53,14.03,75.33
2023.04.17 - 2023.04.23,861.0,1.0,5.0,861.42,7.51,34.38,0.0,34.38,11.26,74.26
2023.04.24 - 2023.04.30,5167.0,6.0,5.0,861.42,8.01,39.2,0.0,39.2,13.38,76.06
