tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Perşembe Yaylası - Ordu_temp,Perşembe Yaylası - Ordu_prcp,Perşembe Yaylası - Ordu_snow,Perşembe Yaylası - Ordu_rain,Perşembe Yaylası - Ordu_wspd,Perşembe Yaylası - Ordu_rhum
2023.01.02 - 2023.01.08,4696.0,4.0,4.75,1184.11,-1.57,7.18,7.18,0.0,7.06,70.07
2023.01.09 - 2023.01.15,1210.0,1.0,5.0,1210.12,-2.53,14.24,14.24,0.0,6.7,76.06
2023.01.16 - 2023.01.22,2420.0,2.0,4.5,1210.12,-2.06,0.0,0.0,0.0,8.73,66.69
2023.01.23 - 2023.01.29,2420.0,2.0,5.0,1210.12,1.1,0.0,0.0,0.0,9.65,63.09
2023.01.30 - 2023.02.05,2420.0,2.0,4.0,1210.12,-1.03,14.81,13.56,1.25,9.36,74.73
2023.02.06 - 2023.02.12,1210.0,1.0,5.0,1210.12,-4.16,45.26,45.26,0.0,11.74,77.33
2023.02.13 - 2023.02.19,1210.0,1.0,5.0,1210.12,-6.42,28.74,28.74,0.0,14.46,76.21
2023.02.20 - 2023.02.26,2420.0,2.0,4.5,1210.12,-3.08,28.97,26.25,2.72,14.86,65.41
2023.02.27 - 2023.03.05,4840.0,4.0,5.0,1210.12,1.56,4.26,4.26,0.0,13.58,60.02
2023.03.06 - 2023.03.12,6050.0,5.0,5.0,1210.12,2.5,29.64,14.64,15.0,9.82,79.19
2023.03.13 - 2023.03.19,4840.0,4.0,4.75,1210.12,3.54,29.88,22.16,7.72,12.59,65.35
2023.03.20 - 2023.03.26,2420.0,2.0,5.0,1210.12,1.06,35.37,33.32,2.05,11.46,84.74
2023.03.27 - 2023.04.02,0.0,0.0,,1210.12,2.48,7.35,6.89,0.46,8.38,79.9
2023.04.03 - 2023.04.09,0.0,0.0,,1210.12,0.95,43.88,29.31,14.57,13.66,70.45
2023.04.10 - 2023.04.16,0.0,0.0,,1210.12,4.27,26.96,15.92,11.04,10.85,76.25
2023.04.17 - 2023.04.23,3630.0,3.0,5.0,1210.12,5.76,32.88,0.0,32.88,8.87,75.81
2023.04.24 - 2023.04.30,15730.0,13.0,4.28,1210.12,5.94,36.23,0.0,36.23,10.58,78.56
2023.05.01 - 2023.05.07,12100.0,10.0,5.0,1210.12,5.08,27.75,0.0,27.75,9.72,77.7
2023.05.08 - 2023.05.14,4840.0,4.0,5.0,1210.12,5.91,13.47,0.0,13.47,10.27,76.57
2023.05.15 - 2023.05.21,13310.0,11.0,4.75,1210.12,5.63,20.54,0.0,20.54,10.11,81.25
2023.05.22 - 2023.05.28,8470.0,7.0,4.7,1210.12,8.35,20.16,0.0,20.16,8.46,78.29
2023.05.29 - 2023.06.04,14520.0,12.0,4.58,1210.12,10.14,10.13,0.0,10.13,9.0,83.51
2023.06.05 - 2023.06.11,14521.0,12.0,4.76,1210.12,11.79,32.78,0.0,32.78,10.18,82.16
2023.06.12 - 2023.06.18,8470.0,7.0,5.0,1210.12,12.36,17.9,0.0,17.9,9.06,82.78
2023.06.19 - 2023.06.25,21782.0,18.0,4.64,1210.12,12.77,42.85,0.0,42.85,8.58,83.06
2023.06.26 - 2023.07.02,29042.0,24.0,4.79,1210.12,13.1,18.35,0.0,18.35,12.22,77.79
