tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Gölcük Tabiat Parkı - Bolu_temp,Gölcük Tabiat Parkı - Bolu_prcp,Gölcük Tabiat Parkı - Bolu_snow,Gölcük Tabiat Parkı - Bolu_rain,Gölcük Tabiat Parkı - Bolu_wspd,Gölcük Tabiat Parkı - Bolu_rhum
2023.01.02 - 2023.01.08,4544.0,18.0,5.0,253.21,1.25,3.08,0.68,2.4,1.71,82.81
2023.01.09 - 2023.01.15,4424.0,14.0,4.9,316.05,-0.09,3.09,3.09,0.0,2.17,77.22
2023.01.16 - 2023.01.22,6320.0,20.0,5.0,316.05,2.41,0.07,0.04,0.03,2.44,71.45
2023.01.23 - 2023.01.29,4108.0,13.0,5.0,316.05,6.35,0.0,0.0,0.0,3.13,58.66
2023.01.30 - 2023.02.05,6636.0,21.0,5.0,316.05,1.49,9.6,8.53,1.07,3.91,73.1
2023.02.06 - 2023.02.12,9480.0,30.0,4.95,316.05,-2.7,8.75,8.75,0.0,4.01,79.97
2023.02.13 - 2023.02.19,1580.0,5.0,4.75,316.05,-4.29,15.57,15.57,0.0,3.08,79.44
2023.02.20 - 2023.02.26,2844.0,9.0,5.0,316.05,0.65,14.28,14.28,0.0,4.85,70.52
2023.02.27 - 2023.03.05,3792.0,12.0,4.93,316.05,6.76,0.69,0.0,0.69,3.49,62.52
2023.03.06 - 2023.03.12,1580.0,5.0,5.0,316.05,5.26,32.26,20.15,12.11,3.02,82.27
2023.03.13 - 2023.03.19,2528.0,8.0,4.75,316.05,5.9,23.47,6.69,16.78,4.45,70.5
2023.03.20 - 2023.03.26,3160.0,10.0,4.75,316.05,3.35,35.74,10.59,25.15,3.21,83.94
2023.03.27 - 2023.04.02,2528.0,8.0,4.4,316.05,6.02,2.81,0.0,2.81,3.12,76.21
2023.04.03 - 2023.04.09,6952.0,22.0,4.42,316.05,4.31,31.51,9.35,22.16,4.96,71.78
2023.04.10 - 2023.04.16,2212.0,7.0,4.8,316.05,6.22,23.21,0.0,23.21,4.27,74.79
2023.04.17 - 2023.04.23,3476.0,11.0,4.48,316.05,9.19,21.0,0.0,21.0,4.35,69.84
2023.04.24 - 2023.04.30,12009.0,38.0,4.86,316.05,8.84,14.56,0.0,14.56,4.2,73.34
2023.05.01 - 2023.05.07,11060.0,35.0,4.4,316.05,6.61,32.76,2.36,30.4,4.93,73.66
2023.05.08 - 2023.05.14,11692.0,37.0,4.63,316.05,9.97,9.28,0.0,9.28,3.73,69.33
2023.05.15 - 2023.05.21,4740.0,15.0,4.93,316.05,9.75,6.62,0.0,6.62,4.54,78.44
2023.05.22 - 2023.05.28,10744.0,34.0,4.78,316.05,12.81,25.18,0.0,25.18,4.23,79.29
2023.05.29 - 2023.06.04,8848.0,28.0,4.74,316.05,12.59,17.45,0.0,17.45,3.06,84.34
2023.06.05 - 2023.06.11,5372.0,17.0,4.57,316.05,13.03,73.6,0.0,73.6,3.37,81.2
2023.06.12 - 2023.06.18,6320.0,20.0,5.0,316.05,15.98,1.18,0.0,1.18,4.16,76.86
2023.06.19 - 2023.06.25,6636.0,21.0,4.96,316.05,15.83,43.55,0.0,43.55,4.16,78.12
2023.06.26 - 2023.07.02,8848.0,28.0,4.94,316.05,16.75,37.17,0.0,37.17,4.36,71.97
2023.07.03 - 2023.07.09,18962.0,60.0,4.59,316.05,18.16,4.2,0.0,4.2,4.54,67.99
2023.07.10 - 2023.07.16,18331.0,58.0,4.8,316.05,18.6,77.64,0.0,77.64,4.77,74.24
2023.07.17 - 2023.07.23,18014.0,57.0,4.84,316.05,20.02,0.01,0.0,0.01,4.52,63.7
2023.07.24 - 2023.07.30,18645.0,59.0,4.85,316.05,21.51,2.01,0.0,2.01,4.89,61.93
2023.07.31 - 2023.08.06,22123.0,70.0,4.59,316.05,19.2,4.66,0.0,4.66,4.85,64.36
2023.08.07 - 2023.08.13,21807.0,69.0,4.72,316.05,23.49,0.0,0.0,0.0,5.02,62.01
2023.08.14 - 2023.08.20,24652.0,78.0,4.78,316.05,20.07,1.91,0.0,1.91,5.7,74.69
2023.08.21 - 2023.08.27,16116.0,51.0,4.78,316.05,24.51,0.0,0.0,0.0,4.24,63.75
2023.08.28 - 2023.09.03,19594.0,62.0,4.69,316.05,21.36,0.06,0.0,0.06,3.8,59.85
2023.09.04 - 2023.09.10,14852.0,47.0,4.92,316.05,19.52,7.01,0.0,7.01,3.61,67.2
2023.09.11 - 2023.09.17,12324.0,39.0,4.9,316.05,17.36,0.32,0.0,0.32,3.89,71.74
2023.09.18 - 2023.09.24,11692.0,37.0,4.84,316.05,15.21,0.0,0.0,0.0,3.43,61.11
2023.09.25 - 2023.10.01,9796.0,31.0,4.83,316.05,16.97,0.0,0.0,0.0,3.42,60.55
2023.10.02 - 2023.10.08,7584.0,24.0,4.71,316.05,14.7,36.95,0.0,36.95,3.14,80.4
2023.10.09 - 2023.10.15,9480.0,30.0,4.98,316.05,11.11,9.67,0.0,9.67,3.19,75.51
2023.10.16 - 2023.10.22,6320.0,20.0,4.94,316.05,10.04,2.21,0.0,2.21,2.97,74.5
2023.10.23 - 2023.10.29,11376.0,36.0,4.92,316.05,12.12,7.87,0.0,7.87,2.49,70.29
2023.10.30 - 2023.11.05,9165.0,29.0,4.93,316.05,14.59,1.7,0.0,1.7,2.48,65.96
2023.11.06 - 2023.11.12,11376.0,36.0,4.7,316.05,13.46,4.45,0.0,4.45,3.26,66.49
2023.11.13 - 2023.11.19,10745.0,34.0,4.27,316.05,10.73,15.42,0.0,15.42,3.29,74.28
2023.11.20 - 2023.11.26,10428.0,33.0,4.91,316.05,4.37,77.97,56.34,21.63,5.1,80.3
2023.11.27 - 2023.12.03,9480.0,30.0,4.9,316.05,5.04,30.87,6.51,24.36,4.82,77.48
2023.12.04 - 2023.12.10,7900.0,25.0,4.94,316.05,6.71,12.44,0.03,12.41,3.68,70.08
2023.12.11 - 2023.12.17,3476.0,11.0,4.79,316.05,4.69,26.0,0.0,26.0,2.31,87.86
2023.12.18 - 2023.12.24,4740.0,15.0,4.81,316.05,3.1,5.7,0.76,4.94,2.7,79.91
2023.12.25 - 2023.12.31,6004.0,19.0,4.94,316.05,2.84,39.63,28.34,11.29,4.16,77.72
2024.01.01 - 2024.01.07,5138.0,18.0,4.75,300.32,4.28,0.03,0.0,0.03,1.7,75.52
2024.01.08 - 2024.01.14,2884.0,14.0,4.93,205.94,5.5,28.74,0.0,28.74,3.94,72.92
2024.01.15 - 2024.01.21,4532.0,22.0,4.74,205.94,-2.85,23.86,23.86,0.0,3.36,79.36
2024.01.22 - 2024.01.28,2884.0,14.0,4.63,205.94,2.6,16.2,12.63,3.57,3.9,77.99
2024.01.29 - 2024.02.04,4120.0,20.0,4.9,205.94,-3.3,23.62,23.62,0.0,3.42,85.41
2024.02.05 - 2024.02.11,10092.0,49.0,4.88,205.94,-1.19,1.94,0.35,1.59,3.43,75.2
2024.02.12 - 2024.02.18,9062.0,44.0,4.86,205.94,7.88,0.02,0.0,0.02,3.35,58.94
2024.02.19 - 2024.02.25,6798.0,33.0,5.0,205.94,2.28,15.63,7.83,7.8,2.86,80.25
2024.02.26 - 2024.03.03,8238.0,40.0,4.8,205.94,3.77,0.03,0.03,0.0,2.0,66.49
2024.03.04 - 2024.03.10,4944.0,24.0,4.55,205.94,6.93,0.33,0.0,0.33,2.43,68.46
2024.03.11 - 2024.03.17,5356.0,26.0,4.91,205.94,3.41,12.89,5.39,7.5,2.74,77.25
2024.03.18 - 2024.03.24,4531.0,22.0,4.74,205.94,5.24,5.28,0.0,5.28,1.95,71.11
2024.03.25 - 2024.03.31,1030.0,5.0,5.0,205.94,2.12,28.47,12.3,16.17,1.93,71.76
2024.04.01 - 2024.04.07,2060.0,10.0,4.94,205.94,10.24,4.31,0.0,4.31,2.5,58.77
2024.04.08 - 2024.04.14,3090.0,15.0,4.81,205.94,10.76,0.02,0.0,0.02,4.06,53.47
2024.04.15 - 2024.04.21,14210.0,69.0,4.76,205.94,11.45,0.0,0.0,0.0,3.71,69.01
2024.04.22 - 2024.04.28,7414.0,36.0,4.67,205.94,14.36,8.7,0.0,8.7,5.26,55.18
2024.04.29 - 2024.05.05,4532.0,22.0,5.0,205.94,14.66,12.89,0.0,12.89,4.28,63.13
2024.05.06 - 2024.05.12,4532.0,22.0,4.96,205.94,9.45,26.16,0.0,26.16,3.9,78.0
2024.05.13 - 2024.05.19,4944.0,24.0,4.94,205.94,10.55,8.99,0.0,8.99,3.71,70.62
2024.05.20 - 2024.05.26,3502.0,17.0,5.0,205.94,12.08,3.87,0.0,3.87,4.21,68.65
2024.05.27 - 2024.06.02,3708.0,18.0,4.67,205.94,14.2,42.95,0.0,42.95,3.99,71.9
2024.06.03 - 2024.06.09,2678.0,13.0,4.9,205.94,17.07,4.22,0.0,4.22,2.91,66.21
2024.06.10 - 2024.06.16,5355.0,26.0,4.54,205.94,20.5,6.9,0.0,6.9,3.31,63.01
2024.06.17 - 2024.06.23,3914.0,19.0,4.76,205.94,22.06,1.01,0.0,1.01,4.99,58.22
2024.06.24 - 2024.06.30,13592.0,66.0,4.75,205.94,21.75,0.0,0.0,0.0,4.52,61.5
2024.07.01 - 2024.07.07,8650.0,42.0,4.82,205.94,20.87,0.0,0.0,0.0,5.34,59.43
2024.07.08 - 2024.07.14,9062.0,44.0,4.47,205.94,21.41,9.0,0.0,9.0,4.63,62.4
2024.07.15 - 2024.07.21,10092.0,49.0,4.87,205.94,21.4,10.98,0.0,10.98,4.67,67.06
2024.07.22 - 2024.07.28,15445.0,75.0,4.83,205.94,22.75,2.29,0.0,2.29,4.72,61.56
2024.07.29 - 2024.08.04,9884.0,48.0,4.81,205.94,20.69,15.48,0.0,15.48,5.46,66.61
2024.08.05 - 2024.08.11,9885.0,48.0,4.84,205.94,20.93,0.31,0.0,0.31,5.27,60.3
2024.08.12 - 2024.08.18,15446.0,75.0,4.78,205.94,21.0,0.33,0.0,0.33,5.53,64.62
2024.08.19 - 2024.08.25,12357.0,60.0,4.75,205.94,22.22,0.0,0.0,0.0,4.93,55.4
2024.08.26 - 2024.09.01,11533.0,56.0,4.76,205.94,21.31,0.76,0.0,0.76,4.69,64.06
2024.09.02 - 2024.09.08,12151.0,59.0,4.8,205.94,19.88,0.68,0.0,0.68,3.91,69.69
2024.09.09 - 2024.09.15,11534.0,56.0,4.84,205.94,18.58,5.05,0.0,5.05,4.62,68.31
2024.09.16 - 2024.09.22,7621.0,37.0,4.83,205.94,19.48,4.43,0.0,4.43,4.49,61.07
2024.09.23 - 2024.09.29,5562.0,27.0,4.86,205.94,14.21,8.68,0.0,8.68,4.41,75.3
2024.09.30 - 2024.10.06,5356.0,26.0,4.89,205.94,16.05,3.55,0.0,3.55,3.3,69.03
2024.10.07 - 2024.10.13,8034.0,39.0,4.88,205.94,13.52,43.54,0.0,43.54,4.34,75.37
2024.10.14 - 2024.10.20,7828.0,38.0,4.88,205.94,14.23,5.67,0.0,5.67,3.62,72.9
2024.10.21 - 2024.10.27,8652.0,42.0,4.87,205.94,6.58,16.74,0.0,16.74,4.36,79.3
2024.10.28 - 2024.11.03,9886.0,48.0,4.87,205.94,7.38,0.75,0.0,0.75,2.56,74.48
2024.11.04 - 2024.11.10,14208.0,69.0,4.74,205.94,6.38,1.12,0.0,1.12,3.04,75.4
2024.11.11 - 2024.11.17,11120.0,54.0,4.7,205.94,2.43,0.58,0.0,0.58,3.09,75.93
2024.11.18 - 2024.11.24,19769.0,96.0,4.87,205.94,4.83,21.42,0.0,21.42,3.36,85.89
2024.11.25 - 2024.12.01,12768.0,62.0,4.76,205.94,3.25,72.4,46.52,25.88,5.26,78.17
2024.12.02 - 2024.12.08,6592.0,32.0,4.91,205.94,-1.26,4.23,4.23,0.0,2.98,87.83
2024.12.09 - 2024.12.15,9268.0,45.0,4.94,205.94,3.31,6.73,4.24,2.49,3.05,79.72
2024.12.16 - 2024.12.22,6385.0,31.0,4.77,205.94,1.05,24.92,24.92,0.0,4.51,82.97
2024.12.23 - 2024.12.29,7416.0,36.0,4.9,205.94,1.09,9.84,4.32,5.52,4.35,78.27
2024.12.30 - 2025.01.05,5767.0,28.0,4.76,205.94,2.74,20.89,18.92,1.97,4.95,75.41
2025.01.06 - 2025.01.12,7015.0,39.0,4.94,181.04,0.14,3.29,0.99,2.3,3.58,76.05
2025.01.13 - 2025.01.19,3539.0,20.0,4.93,176.89,2.37,10.77,7.85,2.92,3.34,76.59
2025.01.20 - 2025.01.26,7075.0,40.0,4.82,176.89,-0.32,22.92,22.92,0.0,3.81,81.59
2025.01.27 - 2025.02.02,12560.0,71.0,4.82,176.89,1.63,22.54,10.35,12.19,2.81,82.13
2025.02.03 - 2025.02.09,10082.0,57.0,4.84,176.89,2.23,0.34,0.28,0.06,3.41,71.67
2025.02.10 - 2025.02.16,5838.0,33.0,4.79,176.89,-3.82,13.6,13.6,0.0,4.48,80.39
2025.02.17 - 2025.02.23,7605.0,43.0,4.83,176.89,-1.03,7.94,5.8,2.14,3.89,77.79
2025.02.24 - 2025.03.02,6191.0,35.0,4.88,176.89,-7.08,23.78,23.78,0.0,5.19,80.29
2025.03.03 - 2025.03.09,3893.0,22.0,4.98,176.89,-0.44,1.34,0.81,0.53,4.69,70.88
2025.03.10 - 2025.03.16,3185.0,18.0,4.43,176.89,2.94,0.02,0.02,0.0,4.02,60.77
2025.03.17 - 2025.03.23,1947.0,11.0,4.25,176.89,11.83,0.08,0.0,0.08,2.98,42.65
2025.03.24 - 2025.03.30,1593.0,9.0,4.92,176.89,0.95,5.41,5.41,0.0,4.69,66.86
2025.03.31 - 2025.04.06,2477.0,14.0,4.81,176.89,10.35,8.5,0.0,8.5,4.41,59.93
2025.04.07 - 2025.04.13,10790.0,61.0,4.76,176.89,6.15,7.42,0.0,7.42,5.9,72.45
2025.04.14 - 2025.04.20,5306.0,30.0,4.76,176.89,-1.21,29.21,29.21,0.0,5.79,75.19
2025.04.21 - 2025.04.27,3894.0,22.0,4.92,176.89,8.65,0.57,0.0,0.57,4.8,62.42
2025.04.28 - 2025.05.04,4423.0,25.0,4.51,176.89,7.81,33.77,0.0,33.77,5.17,73.14
2025.05.05 - 2025.05.11,6014.0,34.0,4.91,176.89,7.11,6.27,0.0,6.27,4.96,70.37
2025.05.12 - 2025.05.18,3538.0,20.0,4.82,176.89,11.98,25.67,0.0,25.67,4.69,68.54
2025.05.19 - 2025.05.25,6369.0,36.0,4.74,176.89,8.8,7.46,0.0,7.46,5.6,62.19
2025.05.26 - 2025.06.01,5661.0,32.0,4.84,176.89,14.57,13.88,0.0,13.88,5.37,59.33
2025.06.02 - 2025.06.08,5307.0,30.0,4.84,176.89,11.37,34.07,0.0,34.07,5.06,72.79
2025.06.09 - 2025.06.15,9199.0,52.0,4.69,176.89,16.25,0.01,0.0,0.01,4.76,62.54
2025.06.16 - 2025.06.22,10081.0,57.0,4.74,176.89,15.37,0.18,0.0,0.18,5.61,65.05
2025.06.23 - 2025.06.29,7960.0,45.0,4.62,176.89,15.06,0.01,0.0,0.01,5.42,54.27
2025.06.30 - 2025.07.06,9198.0,52.0,4.88,176.89,16.84,4.57,0.0,4.57,4.99,46.65
2025.07.07 - 2025.07.13,6190.0,35.0,4.75,176.89,16.45,8.69,0.0,8.69,5.01,56.16
2025.07.14 - 2025.07.20,12913.0,73.0,4.77,176.89,19.61,0.2,0.0,0.2,5.89,58.12
2025.07.21 - 2025.07.27,14859.0,84.0,4.84,176.89,19.54,5.76,0.0,5.76,5.84,58.55
2025.07.28 - 2025.08.03,12206.0,69.0,4.75,176.89,22.29,0.0,0.0,0.0,4.92,42.3
2025.08.04 - 2025.08.10,13091.0,74.0,4.83,176.89,20.65,16.7,0.0,16.7,5.93,66.54
2025.08.11 - 2025.08.17,12914.0,73.0,4.9,176.89,20.72,1.09,0.0,1.09,5.7,58.77
2025.08.18 - 2025.08.24,16096.0,91.0,4.64,176.89,18.95,0.0,0.0,0.0,5.47,57.22
2025.08.25 - 2025.08.31,18042.0,102.0,4.64,176.89,18.06,0.84,0.0,0.84,5.77,59.74
2025.09.01 - 2025.09.07,14151.0,80.0,4.78,176.89,18.21,0.0,0.0,0.0,5.09,58.68
2025.09.08 - 2025.09.14,12912.0,73.0,4.89,176.89,16.41,11.8,0.0,11.8,4.85,68.44
2025.09.15 - 2025.09.21,9906.0,56.0,4.85,176.89,15.44,1.14,0.0,1.14,4.69,67.83
2025.09.22 - 2025.09.28,7429.0,42.0,4.93,176.89,12.12,20.14,0.0,20.14,4.97,68.45
2025.09.29 - 2025.10.05,7430.0,42.0,4.82,176.89,12.42,10.04,0.0,10.04,4.37,71.25
2025.10.06 - 2025.10.12,6899.0,39.0,4.84,176.89,11.0,7.66,0.0,7.66,4.58,68.7
2025.10.13 - 2025.10.19,7960.0,45.0,4.67,176.89,7.93,28.44,0.0,28.44,4.89,79.54
2025.10.20 - 2025.10.26,6897.0,39.0,4.81,176.89,8.59,15.93,0.0,15.93,3.83,77.25
2025.10.27 - 2025.11.02,8313.0,47.0,4.83,176.89,9.69,20.82,0.0,20.82,3.83,79.54
2025.11.03 - 2025.11.09,15920.0,90.0,4.81,176.89,6.95,22.6,0.0,22.6,2.9,69.42
2025.11.10 - 2025.11.16,15743.0,89.0,4.92,176.89,8.96,0.48,0.0,0.48,2.56,72.68
2025.11.17 - 2025.11.23,22641.0,128.0,4.69,176.89,4.93,11.45,0.0,11.45,3.88,77.13
2025.11.24 - 2025.11.30,16275.0,92.0,4.81,176.89,7.91,11.35,0.0,11.35,3.27,61.05
2025.12.01 - 2025.12.07,9905.0,56.0,4.72,176.89,5.61,5.23,0.0,5.23,3.58,73.59
2025.12.08 - 2025.12.14,7960.0,45.0,4.5,176.89,4.27,14.41,0.0,14.41,3.62,74.83
2025.12.15 - 2025.12.21,4776.0,27.0,4.73,176.89,2.23,5.25,2.31,2.94,3.84,83.08
2025.12.22 - 2025.12.28,2478.0,14.0,4.86,176.89,-0.01,4.13,4.13,0.0,2.38,78.49
2025.12.29 - 2026.01.04,5483.0,31.0,4.89,176.89,-0.86,51.77,51.28,0.49,5.05,87.04
2026.01.05 - 2026.01.11,708.0,4.0,4.75,176.89,-5.86,11.38,11.38,0.0,4.46,82.92
