tarih,gercek_ziyaretci,yorum_sayisi,ortalama_puan,uygulanan_beta,Kümbet yaylası - Giresun_temp,Kümbet yaylası - Giresun_prcp,Kümbet yaylası - Giresun_snow,Kümbet yaylası - Giresun_rain,Kümbet yaylası - Giresun_wspd,Kümbet yaylası - Giresun_rhum
2023.01.09 - 2023.01.15,322.0,1.0,5.0,322.11,-2.93,19.11,19.11,0.0,7.27,73.0
2023.01.16 - 2023.01.22,644.0,2.0,4.5,322.11,-2.66,0.0,0.0,0.0,10.48,62.2
2023.01.23 - 2023.01.29,644.0,2.0,5.0,322.11,0.08,0.0,0.0,0.0,11.34,62.33
2023.01.30 - 2023.02.05,1288.0,4.0,4.67,322.11,-1.67,9.99,9.99,0.0,11.52,69.61
2023.02.06 - 2023.02.12,1610.0,5.0,4.78,322.11,-4.54,32.99,32.99,0.0,12.93,73.96
2023.02.13 - 2023.02.19,966.0,3.0,4.0,322.11,-6.58,28.36,28.36,0.0,16.95,74.84
2023.02.20 - 2023.02.26,0.0,0.0,,322.11,-4.68,31.41,31.41,0.0,16.37,69.5
2023.02.27 - 2023.03.05,0.0,0.0,,322.11,0.24,9.15,9.15,0.0,16.01,63.42
2023.03.06 - 2023.03.12,0.0,0.0,,322.11,1.03,26.99,26.99,0.0,11.48,82.25
2023.03.13 - 2023.03.19,644.0,2.0,5.0,322.11,3.13,15.79,15.6,0.19,14.93,66.79
2023.03.20 - 2023.03.26,966.0,3.0,5.0,322.11,0.21,29.73,29.01,0.72,11.23,87.88
2023.03.27 - 2023.04.02,0.0,0.0,,322.11,-0.02,17.11,13.83,3.28,9.55,85.31
2023.04.03 - 2023.04.09,322.0,1.0,5.0,322.11,-1.94,53.97,39.42,14.55,14.93,74.69
2023.04.10 - 2023.04.16,322.0,1.0,4.0,322.11,1.32,34.71,33.34,1.37,11.79,80.84
2023.04.17 - 2023.04.23,1610.0,5.0,4.75,322.11,2.96,33.54,32.78,0.76,10.55,78.68
2023.04.24 - 2023.04.30,322.0,1.0,5.0,322.11,3.9,38.04,6.3,31.74,12.61,80.55
2023.05.01 - 2023.05.07,2898.0,9.0,5.0,322.11,2.92,29.91,21.61,8.3,10.69,79.48
2023.05.08 - 2023.05.14,1932.0,6.0,4.58,322.11,3.92,10.07,1.55,8.52,10.51,79.23
2023.05.15 - 2023.05.21,2576.0,8.0,4.7,322.11,4.62,38.42,0.0,38.42,11.59,83.85
2023.05.22 - 2023.05.28,4831.0,15.0,4.38,322.11,7.17,7.21,0.0,7.21,9.23,80.16
2023.05.29 - 2023.06.04,2576.0,8.0,4.0,322.11,7.83,9.44,0.0,9.44,10.23,85.6
2023.06.05 - 2023.06.11,966.0,3.0,5.0,322.11,9.23,16.55,0.0,16.55,10.77,84.81
2023.06.12 - 2023.06.18,1932.0,6.0,4.75,322.11,9.97,10.9,0.0,10.9,9.06,85.01
2023.06.19 - 2023.06.25,1932.0,6.0,5.0,322.11,10.51,32.75,0.0,32.75,9.09,85.52
2023.06.26 - 2023.07.02,7086.0,22.0,4.68,322.11,11.4,35.24,0.0,35.24,12.66,80.17
2023.07.03 - 2023.07.09,15139.0,47.0,4.48,322.11,13.06,11.11,0.0,11.11,10.33,75.2
2023.07.10 - 2023.07.16,15460.0,48.0,4.3,322.11,14.23,47.45,0.0,47.45,11.14,77.89
2023.07.17 - 2023.07.23,12563.0,39.0,4.76,322.11,12.4,9.44,0.0,9.44,11.59,70.03
2023.07.24 - 2023.07.30,13207.0,41.0,4.69,322.11,14.11,7.61,0.0,7.61,10.07,70.77
2023.07.31 - 2023.08.06,14819.0,46.0,4.57,322.11,13.81,6.79,0.0,6.79,11.51,73.28
2023.08.07 - 2023.08.13,11919.0,37.0,4.49,322.11,16.35,0.76,0.0,0.76,9.55,73.53
2023.08.14 - 2023.08.20,12240.0,38.0,4.42,322.11,17.32,32.32,0.0,32.32,10.81,78.16
2023.08.21 - 2023.08.27,16429.0,51.0,4.45,322.11,16.24,1.06,0.0,1.06,8.29,73.13
2023.08.28 - 2023.09.03,15462.0,48.0,4.25,322.11,15.73,2.75,0.0,2.75,10.76,71.11
2023.09.04 - 2023.09.10,13528.0,42.0,4.59,322.11,16.3,8.86,0.0,8.86,13.62,73.81
2023.09.11 - 2023.09.17,8052.0,25.0,4.09,322.11,13.21,10.97,0.0,10.97,13.96,71.73
2023.09.18 - 2023.09.24,5796.0,18.0,4.55,322.11,10.33,1.7,0.0,1.7,12.51,69.94
2023.09.25 - 2023.10.01,7407.0,23.0,4.45,322.11,11.48,0.57,0.0,0.57,8.52,72.3
2023.10.02 - 2023.10.08,4830.0,15.0,4.54,322.11,11.28,49.73,0.0,49.73,9.96,74.78
2023.10.09 - 2023.10.15,2254.0,7.0,4.83,322.11,8.25,21.98,0.0,21.98,13.02,72.2
2023.10.16 - 2023.10.22,1932.0,6.0,4.58,322.11,6.94,12.05,0.0,12.05,10.07,71.71
2023.10.23 - 2023.10.29,1932.0,6.0,4.42,322.11,6.64,38.65,0.0,38.65,10.68,72.92
2023.10.30 - 2023.11.05,1288.0,4.0,4.75,322.11,10.7,0.11,0.0,0.11,11.94,67.93
2023.11.06 - 2023.11.12,1932.0,6.0,3.67,322.11,9.61,3.83,0.0,3.83,13.13,68.76
2023.11.13 - 2023.11.19,2576.0,8.0,4.75,322.11,7.77,19.62,0.0,19.62,14.19,67.98
2023.11.20 - 2023.11.26,322.0,1.0,5.0,322.11,4.53,72.08,8.18,63.9,17.35,75.28
2023.11.27 - 2023.12.03,1288.0,4.0,5.0,322.11,4.07,49.05,31.01,18.04,19.72,69.36
2023.12.04 - 2023.12.10,322.0,1.0,5.0,322.11,3.17,1.85,0.18,1.67,16.35,59.19
2023.12.11 - 2023.12.17,966.0,3.0,4.5,322.11,2.21,11.71,7.83,3.88,10.84,81.86
