time,Abant Gölü Tabiat Parkı - Bolu_temp,Abant Gölü Tabiat Parkı - Bolu_prcp,Abant Gölü Tabiat Parkı - Bolu_snow,Abant Gölü Tabiat Parkı - Bolu_rain,Abant Gölü Tabiat Parkı - Bolu_tmin,Abant Gölü Tabiat Parkı - Bolu_tmax,Abant Gölü Tabiat Parkı - Bolu_wspd,Abant Gölü Tabiat Parkı - Bolu_rhum
2024-01-28,-4.17,5.38,5.38,0.0,-6.15,-2.28,7.34,90.29
2024-01-29,-4.38,4.08,4.08,0.0,-7.09,-1.81,3.62,85.23
2024-01-30,-4.19,0.4,0.4,0.0,-7.7,-1.15,5.48,79.28
2024-01-31,-3.68,0.32,0.32,0.0,-8.44,0.56,5.29,75.52
2024-02-01,-3.2,0.12,0.12,0.0,-7.67,1.77,3.09,78.41
2024-02-02,-3.0,0.0,0.0,0.0,-10.06,2.89,4.29,80.24
2024-02-03,-1.71,1.14,1.14,0.0,-5.05,2.52,3.59,76.0
2024-02-04,-1.19,0.28,0.28,0.0,-6.93,2.98,4.43,77.89
2024-02-05,2.74,1.06,0.0,1.06,-1.64,6.09,7.43,75.9
2024-02-06,5.55,0.0,0.0,0.0,-0.35,11.14,8.27,65.95
2024-02-07,5.3,0.0,0.0,0.0,-4.89,14.06,3.95,64.0
2024-02-08,4.7,0.09,0.0,0.09,-2.73,11.35,3.74,69.12
2024-02-09,4.85,0.0,0.0,0.0,-4.3,12.94,3.48,71.54
2024-02-10,7.0,0.0,0.0,0.0,-2.87,13.54,4.22,64.01
2024-02-11,8.48,0.0,0.0,0.0,1.87,12.85,4.97,59.31
2024-02-12,9.52,0.7,0.0,0.7,4.5,12.85,6.38,53.04
2024-02-13,5.65,1.38,0.0,1.38,1.91,9.36,4.9,66.09
2024-02-14,1.35,8.3,8.3,0.0,-0.62,2.49,3.62,90.82
2024-02-15,0.25,18.88,18.88,0.0,-1.05,1.89,5.34,90.94
2024-02-16,0.79,1.57,1.57,0.0,-0.87,3.01,3.83,85.64
2024-02-17,-0.28,1.97,1.97,0.0,-1.19,1.04,4.78,88.52
2024-02-18,-0.6,0.28,0.28,0.0,-3.01,2.04,3.87,81.05
2024-02-19,-0.84,0.0,0.0,0.0,-3.14,2.13,3.02,77.59
2024-02-20,-0.23,0.0,0.0,0.0,-4.18,4.03,3.25,78.29
2024-02-21,-1.21,0.0,0.0,0.0,-3.85,2.38,3.32,79.7
2024-02-22,-0.55,0.0,0.0,0.0,-7.47,6.62,2.39,68.52
2024-02-23,2.88,0.0,0.0,0.0,-7.29,11.04,3.29,62.17
2024-02-24,4.33,0.0,0.0,0.0,-3.2,13.58,2.52,61.29
2024-02-25,6.16,0.0,0.0,0.0,-3.72,14.22,2.68,66.77
2024-02-26,5.98,0.0,0.0,0.0,-1.29,12.89,3.03,65.89
2024-02-27,4.05,0.14,0.0,0.14,-3.78,10.48,3.76,76.42
2024-02-28,4.9,0.05,0.0,0.05,-3.96,12.92,3.66,75.96
2024-02-29,6.25,0.0,0.0,0.0,-2.23,14.34,3.52,71.43
2024-03-01,3.83,0.0,0.0,0.0,-1.04,11.54,3.77,69.77
2024-03-02,4.6,0.18,0.0,0.18,-1.76,11.8,4.34,72.02
2024-03-03,4.21,2.57,0.0,2.57,-0.29,9.4,4.25,79.95
2024-03-04,4.63,0.65,0.0,0.65,-1.81,10.32,3.24,78.42
2024-03-05,3.73,3.81,0.0,3.81,-4.28,9.78,3.43,76.95
2024-03-06,0.62,3.43,3.43,0.0,-1.09,2.24,5.89,89.4
2024-03-07,1.44,1.93,1.93,0.0,-3.52,6.33,3.69,76.17
2024-03-08,0.28,4.39,4.39,0.0,-5.45,6.04,3.97,83.94
2024-03-09,-0.8,3.43,3.43,0.0,-2.59,1.36,4.33,86.23
2024-03-10,1.19,0.0,0.0,0.0,-5.79,7.85,2.98,77.01
2024-03-11,6.02,0.0,0.0,0.0,-5.68,14.83,2.09,67.25
2024-03-12,8.62,0.49,0.0,0.49,-1.15,15.84,4.17,57.96
2024-03-13,4.55,1.59,0.0,1.59,0.55,10.23,4.19,72.12
2024-03-14,3.71,1.96,0.0,1.96,-1.49,9.99,2.71,76.35
2024-03-15,1.56,4.12,4.12,0.0,-0.58,4.04,3.89,86.29
2024-03-16,1.9,2.34,2.34,0.0,-2.3,5.8,2.97,81.24
2024-03-17,1.82,0.0,0.0,0.0,-3.81,9.1,3.38,75.95
2024-03-18,2.13,0.0,0.0,0.0,-5.91,10.16,2.69,73.55
2024-03-19,3.34,0.0,0.0,0.0,-6.87,11.05,2.74,61.53
2024-03-20,-0.11,9.47,9.47,0.0,-2.92,2.2,4.13,83.89
2024-03-21,-1.32,4.45,4.45,0.0,-5.09,3.35,2.74,79.36
2024-03-22,-1.17,4.89,4.89,0.0,-4.08,2.24,3.24,83.24
2024-03-23,0.35,1.75,1.75,0.0,-4.26,5.32,2.66,74.48
2024-03-24,2.99,0.0,0.0,0.0,-8.0,11.35,2.55,64.42
2024-03-25,2.09,15.09,0.0,15.09,-5.09,11.59,4.71,70.11
2024-03-26,2.37,0.66,0.0,0.66,-3.87,7.82,4.33,67.89
2024-03-27,4.61,1.34,0.0,1.34,-0.71,12.58,2.69,72.82
2024-03-28,9.06,1.29,0.0,1.29,0.74,19.37,4.77,65.31
