time,Güzeldere selalesi Tabiat Parkı - Düzce_temp,Güzeldere selalesi Tabiat Parkı - Düzce_prcp,Güzeldere selalesi Tabiat Parkı - Düzce_snow,Güzeldere selalesi Tabiat Parkı - Düzce_rain,Güzeldere selalesi Tabiat Parkı - Düzce_tmin,Güzeldere selalesi Tabiat Parkı - Düzce_tmax,Güzeldere selalesi Tabiat Parkı - Düzce_wspd,Güzeldere selalesi Tabiat Parkı - Düzce_rhum
2024-01-01,8.97,0.0,0.0,0.0,3.1,15.22,4.6,77.06
2024-01-02,7.35,2.65,0.0,2.65,1.78,12.14,4.21,83.53
2024-01-03,8.88,3.31,0.0,3.31,4.29,12.81,5.27,85.18
2024-01-04,10.27,0.43,0.0,0.43,5.25,14.83,5.31,76.84
2024-01-05,7.79,7.71,0.0,7.71,2.06,12.71,9.22,75.94
2024-01-06,7.95,0.0,0.0,0.0,-0.31,15.6,4.84,67.93
2024-01-07,10.05,4.77,0.0,4.77,2.68,16.17,8.8,71.19
2024-01-08,9.16,3.28,0.0,3.28,5.58,11.78,8.34,75.42
2024-01-09,3.28,11.4,0.0,11.4,1.88,5.42,9.43,89.58
2024-01-10,1.48,20.63,20.63,0.0,0.57,2.64,10.08,90.11
2024-01-11,0.49,3.4,3.4,0.0,-0.83,1.81,3.6,81.65
2024-01-12,0.29,1.42,1.42,0.0,-1.72,3.12,6.16,79.88
2024-01-13,-2.58,1.22,1.22,0.0,-5.93,0.58,4.46,72.57
2024-01-14,-2.19,0.12,0.12,0.0,-8.36,3.97,3.23,72.46
2024-01-15,3.43,0.0,0.0,0.0,-5.48,9.05,6.53,67.41
2024-01-16,6.13,7.81,0.0,7.81,2.28,9.01,9.0,77.95
2024-01-17,5.33,3.77,0.0,3.77,0.95,11.22,2.78,87.65
2024-01-18,6.95,0.05,0.0,0.05,0.01,12.71,8.33,77.06
2024-01-19,12.41,0.92,0.0,0.92,8.56,15.86,8.65,69.25
2024-01-20,5.87,6.82,0.0,6.82,2.57,10.99,7.52,86.24
2024-01-21,1.75,17.4,17.4,0.0,0.49,3.52,10.07,85.16
2024-01-22,0.71,1.58,1.58,0.0,-2.65,3.87,9.05,70.52
2024-01-23,-0.69,0.0,0.0,0.0,-6.75,5.0,3.3,76.64
2024-01-24,-0.56,0.0,0.0,0.0,-6.17,5.81,2.73,81.88
2024-01-25,0.94,1.64,1.64,0.0,-3.47,5.64,5.42,82.18
2024-01-26,2.13,5.91,0.0,5.91,0.27,4.77,7.7,90.23
2024-01-27,1.72,6.45,6.45,0.0,-2.05,5.36,6.56,86.17
2024-01-28,0.27,6.44,6.44,0.0,-1.69,2.35,8.61,89.11
2024-01-29,-0.18,5.3,5.3,0.0,-2.76,2.47,4.3,86.05
2024-01-30,0.04,0.54,0.54,0.0,-3.31,2.99,6.73,80.46
2024-01-31,0.89,0.43,0.43,0.0,-4.09,5.2,6.87,76.11
2024-02-01,1.38,0.16,0.16,0.0,-3.21,6.44,3.76,79.82
2024-02-02,1.28,0.0,0.0,0.0,-5.76,7.11,5.11,81.18
2024-02-03,2.56,1.6,0.0,1.6,-1.09,6.89,4.13,76.82
2024-02-04,3.2,0.37,0.0,0.37,-2.82,7.66,5.61,77.89
2024-02-05,7.25,0.74,0.0,0.74,2.8,11.18,9.03,75.6
2024-02-06,9.56,0.0,0.0,0.0,3.7,15.83,9.6,67.65
2024-02-07,9.36,0.0,0.0,0.0,-0.34,18.34,5.07,66.06
2024-02-08,8.8,0.12,0.0,0.12,1.75,16.07,4.56,71.71
2024-02-09,8.85,0.0,0.0,0.0,0.09,17.37,4.23,73.06
2024-02-10,10.9,0.0,0.0,0.0,1.41,18.16,5.19,67.01
2024-02-11,13.03,0.0,0.0,0.0,6.5,17.72,6.48,60.43
2024-02-12,13.62,0.94,0.0,0.94,8.05,17.1,7.92,55.16
2024-02-13,9.69,1.86,0.0,1.86,5.73,14.32,5.6,71.03
2024-02-14,5.44,8.57,0.0,8.57,3.25,6.69,5.05,92.0
2024-02-15,4.58,24.05,0.0,24.05,3.54,5.9,7.01,91.29
2024-02-16,4.88,2.14,0.0,2.14,3.34,7.06,4.76,86.64
2024-02-17,3.9,2.76,0.0,2.76,3.12,5.29,5.69,89.53
2024-02-18,3.63,0.28,0.0,0.28,1.52,5.99,4.46,80.99
2024-02-19,3.45,0.0,0.0,0.0,1.47,6.15,3.73,78.23
2024-02-20,3.94,0.0,0.0,0.0,-0.05,8.02,4.01,77.94
2024-02-21,2.99,0.0,0.0,0.0,-0.14,6.98,3.91,79.11
2024-02-22,3.53,0.0,0.0,0.0,-3.25,11.33,2.99,69.53
2024-02-23,7.17,0.0,0.0,0.0,-2.75,15.49,4.2,63.06
2024-02-24,8.96,0.0,0.0,0.0,1.49,18.14,3.38,62.58
2024-02-25,10.15,0.0,0.0,0.0,0.8,18.62,3.4,68.01
2024-02-26,9.84,0.0,0.0,0.0,3.17,17.41,3.89,67.53
2024-02-27,7.36,0.19,0.0,0.19,0.4,13.19,4.68,79.6
2024-02-28,7.94,0.07,0.0,0.07,0.27,16.02,4.5,79.84
2024-02-29,9.27,0.0,0.0,0.0,2.23,17.39,4.52,75.55
2024-03-01,7.45,0.0,0.0,0.0,3.02,14.55,4.76,73.89
2024-03-02,8.34,0.23,0.0,0.23,2.65,15.44,5.07,75.96
2024-03-03,8.0,3.64,0.0,3.64,3.97,13.3,4.92,82.48
2024-03-04,8.52,0.96,0.0,0.96,2.06,14.43,3.92,80.36
2024-03-05,7.47,3.97,0.0,3.97,-0.05,13.8,4.18,79.07
2024-03-06,4.98,4.35,0.0,4.35,3.33,6.56,6.88,88.64
2024-03-07,5.43,2.65,0.0,2.65,0.58,10.4,4.42,76.65
2024-03-08,4.0,4.75,0.0,4.75,-1.31,9.18,5.07,85.11
2024-03-09,3.55,4.26,0.0,4.26,1.79,5.64,5.38,85.82
2024-03-10,5.16,0.0,0.0,0.0,-1.57,12.01,3.81,78.36
2024-03-11,9.66,0.0,0.0,0.0,-1.29,19.27,2.91,69.13
2024-03-12,12.47,0.66,0.0,0.66,3.38,19.83,5.81,60.6
2024-03-13,8.55,1.93,0.0,1.93,4.1,14.1,5.32,74.71
2024-03-14,7.72,2.31,0.0,2.31,2.39,14.11,3.53,78.11
2024-03-15,5.76,4.94,0.0,4.94,3.98,7.89,4.88,86.76
2024-03-16,6.12,3.13,0.0,3.13,1.6,10.44,4.0,80.94
2024-03-17,5.44,0.0,0.0,0.0,-0.34,12.84,4.44,77.65
2024-03-18,5.8,0.0,0.0,0.0,-1.78,14.18,3.48,76.02
2024-03-19,7.23,0.0,0.0,0.0,-2.57,15.37,3.7,63.48
2024-03-20,3.99,12.09,0.0,12.09,1.48,6.05,5.76,85.53
2024-03-21,3.3,5.08,0.0,5.08,-0.98,8.27,3.63,78.77
2024-03-22,3.19,5.11,0.0,5.11,0.32,6.46,4.48,83.35
2024-03-23,4.76,2.62,0.0,2.62,0.08,10.05,3.61,73.89
2024-03-24,7.05,0.0,0.0,0.0,-3.53,15.75,3.51,66.36
2024-03-25,6.21,14.17,0.0,14.17,-0.57,15.92,6.46,71.35
2024-03-26,6.44,0.52,0.0,0.52,0.22,12.19,5.34,69.53
2024-03-27,9.18,1.18,0.0,1.18,3.82,17.36,3.7,73.18
2024-03-28,13.38,1.23,0.0,1.23,5.19,23.63,6.32,66.01
2024-03-29,13.84,0.08,0.0,0.08,7.44,21.51,5.99,69.07
2024-03-30,13.9,0.0,0.0,0.0,5.36,23.87,4.31,64.42
2024-03-31,15.71,0.0,0.0,0.0,6.84,25.86,4.72,61.37
2024-04-01,15.67,0.0,0.0,0.0,7.1,27.18,4.44,60.66
2024-04-02,17.04,0.0,0.0,0.0,7.5,28.15,5.12,54.31
2024-04-03,13.64,0.0,0.0,0.0,7.69,19.11,6.5,58.14
2024-04-04,12.38,0.0,0.0,0.0,2.91,21.54,5.33,62.71
2024-04-05,11.77,0.0,0.0,0.0,2.16,19.14,4.74,60.95
2024-04-06,11.33,0.0,0.0,0.0,1.78,19.07,5.06,59.53
2024-04-07,10.34,0.0,0.0,0.0,2.66,17.04,7.24,63.29
2024-04-08,10.34,0.0,0.0,0.0,3.12,16.19,6.95,73.89
2024-04-09,11.66,0.0,0.0,0.0,5.17,18.69,5.6,77.3
2024-04-10,11.15,0.0,0.0,0.0,4.75,17.46,5.77,78.12
2024-04-11,12.66,0.0,0.0,0.0,5.59,18.52,5.99,76.95
2024-04-12,12.4,0.02,0.0,0.02,6.82,18.12,4.61,77.24
2024-04-13,13.36,0.0,0.0,0.0,5.24,20.72,4.87,74.71
2024-04-14,13.08,0.0,0.0,0.0,4.25,20.28,4.52,68.3
2024-04-15,16.35,0.0,0.0,0.0,3.99,25.72,3.88,59.17
2024-04-16,20.38,0.0,0.0,0.0,7.64,28.93,6.02,51.89
2024-04-17,19.8,0.07,0.0,0.07,12.62,26.29,5.12,54.95
2024-04-18,16.66,1.14,0.0,1.14,10.46,23.18,9.23,62.54
2024-04-19,12.93,1.53,0.0,1.53,8.08,17.62,7.8,77.36
2024-04-20,11.26,5.5,0.0,5.5,7.5,17.96,10.16,78.82
2024-04-21,12.88,7.09,0.0,7.09,5.89,18.78,8.03,66.3
2024-04-22,14.34,0.0,0.0,0.0,4.81,20.96,6.64,65.41
2024-04-23,16.44,0.21,0.0,0.21,8.7,22.85,5.56,67.13
2024-04-24,22.17,0.0,0.0,0.0,13.85,27.03,8.27,44.27
2024-04-25,19.28,2.32,0.0,2.32,12.67,25.98,6.0,56.36
2024-04-26,15.42,0.44,0.0,0.44,9.79,19.28,7.46,74.3
2024-04-27,12.93,0.0,0.0,0.0,7.91,17.45,9.77,79.23
2024-04-28,11.5,3.17,0.0,3.17,9.71,13.32,5.29,87.57
2024-04-29,12.17,4.26,0.0,4.26,9.8,15.03,4.35,84.22
2024-04-30,14.11,0.09,0.0,0.09,10.54,17.78,6.07,82.47
2024-05-01,11.61,5.34,0.0,5.34,9.91,14.3,6.23,91.28
2024-05-02,11.66,1.18,0.0,1.18,8.94,14.65,6.83,84.7
2024-05-03,13.62,0.79,0.0,0.79,8.74,19.18,5.23,80.47
2024-05-04,11.14,7.37,0.0,7.37,7.22,16.13,4.82,81.82
2024-05-05,11.18,10.65,0.0,10.65,4.41,15.29,8.95,71.82
2024-05-06,10.42,0.53,0.0,0.53,1.17,17.46,4.96,67.18
2024-05-07,11.3,0.0,0.0,0.0,1.46,21.34,4.12,60.48
2024-05-08,17.33,0.0,0.0,0.0,4.44,24.82,4.9,61.11
2024-05-09,14.32,0.38,0.0,0.38,8.34,19.64,4.88,76.24
2024-05-10,13.87,1.45,0.0,1.45,10.54,17.87,7.34,82.88
2024-05-11,11.08,7.37,0.0,7.37,8.67,12.8,7.83,87.99
2024-05-12,12.46,0.86,0.0,0.86,6.98,16.78,4.05,73.28
2024-05-13,7.99,1.8,0.0,1.8,3.86,13.63,5.75,84.99
2024-05-14,9.55,6.47,0.0,6.47,1.39,14.84,5.65,70.53
2024-05-15,11.05,0.0,0.0,0.0,0.35,17.25,6.75,67.06
2024-05-16,11.9,0.0,0.0,0.0,4.14,17.79,6.26,70.06
2024-05-17,14.59,0.67,0.0,0.67,6.04,21.76,6.42,73.71
2024-05-18,16.75,0.0,0.0,0.0,7.52,22.61,6.03,74.54
2024-05-19,16.03,0.0,0.0,0.0,7.28,22.78,6.06,75.83
2024-05-20,16.81,0.0,0.0,0.0,8.56,22.67,5.56,74.19
2024-05-21,17.6,0.0,0.0,0.0,7.83,24.02,6.02,72.42
2024-05-22,19.95,0.0,0.0,0.0,8.44,27.27,5.61,69.31
2024-05-23,14.55,24.48,0.0,24.48,10.87,20.8,5.68,83.46
2024-05-24,14.8,14.98,0.0,14.98,10.92,19.62,8.13,81.7
2024-05-25,16.7,0.23,0.0,0.23,9.67,21.11,7.32,76.71
2024-05-26,16.35,0.66,0.0,0.66,11.33,20.58,7.78,74.01
2024-05-27,13.96,0.8,0.0,0.8,8.55,18.0,5.1,75.36
2024-05-28,14.29,0.0,0.0,0.0,7.73,19.31,4.97,76.41
2024-05-29,17.29,0.16,0.0,0.16,7.54,24.08,4.25,69.53
2024-05-30,18.48,0.87,0.0,0.87,9.95,25.39,3.86,67.99
